기준연월,시도명,내국인_전체_소비금액(만원),내국인_숙박_소비금액(만원),내국인_여행_소비금액(만원),내국인_운송_소비금액(만원),내국인_쇼핑_소비금액(만원),내국인_여가서비스_소비금액(만원),내국인_의료웰니스_소비금액(만원),내국인_식음료_소비금액(만원),외지인_전체_소비금액(만원),외지인_숙박_소비금액(만원),외지인_여행_소비금액(만원),외지인_운송_소비금액(만원),외지인_쇼핑_소비금액(만원),외지인_여가서비스_소비금액(만원),외지인_의료웰니스_소비금액(만원),외지인_식음료_소비금액(만원),현지인_전체_소비금액(만원),현지인_숙박_소비금액(만원),현지인_여행_소비금액(만원),현지인_운송_소비금액(만원),현지인_쇼핑_소비금액(만원),현지인_여가서비스_소비금액(만원),현지인_의료웰니스_소비금액(만원),현지인_식음료_소비금액(만원)
202503,부산광역시,82100000,1940000,137691.2,12400000,42200000,1650000,1610000,22100000,76400000,1720000,130691.4,12400000,36800000,1570000,1570000,22100000,5730000,216895.9,6999.8,9152.9,5370000,83971.9,37790.4,
202504,부산광역시,75500000,1730000,164233.8,12000000,37700000,1620000,1450000,20800000,70600000,1530000,144148,12000000,33100000,1530000,1420000,20800000,4960000,205301.4,20085.8,9145.7,4600000,92647.7,31373.9,
202505,부산광역시,89000000,2240000,156556.3,12600000,44900000,2000000,1650000,25400000,82800000,2000000,137615,12600000,39200000,1880000,1600000,25400000,6140000,234893.6,18941.3,11156.6,5710000,118099.8,47402.9,
202506,부산광역시,79100000,1760000,127936.8,11600000,40700000,1740000,1520000,21800000,73100000,1550000,112882.4,11500000,35000000,1650000,1490000,21800000,5980000,210956.2,15054.4,8754.4,5620000,93498.8,35636.5,
202507,부산광역시,84100000,2280000,146307.6,12900000,41100000,1770000,1660000,24200000,78800000,2050000,136019.4,12900000,36200000,1670000,1640000,24200000,5310000,228188.8,10288.2,9994.3,4930000,104071.2,27529.7,
202508,부산광역시,87600000,2610000,182306.4,12500000,41900000,1860000,1750000,26700000,82400000,2390000,173701.9,12500000,37000000,1780000,1720000,26700000,5230000,217215,8604.5,8649.9,4880000,81910.9,29930.1,
202509,부산광역시,80400000,1820000,211230.4,12200000,41300000,1590000,1580000,21700000,75000000,1630000,198640,12200000,36200000,1520000,1550000,21700000,5400000,192477.8,12590.3,9258.9,5090000,70961,25594.5,
202510,부산광역시,93200000,2320000,147419.2,12600000,48000000,2070000,1680000,26500000,87500000,2120000,142016.6,12600000,42600000,1980000,1640000,26500000,5720000,201224.8,5402.6,11191.5,5370000,88672.5,38903.3,
202511,부산광역시,89100000,2060000,198442.3,13400000,46800000,1680000,1700000,23400000,82500000,1810000,187375.3,13400000,40500000,1610000,1660000,23400000,6630000,258804.4,11067,10992.9,6240000,70426.2,39999.4,
202512,부산광역시,93400000,2530000,187803.3,14400000,46600000,1620000,2000000,26000000,86700000,2170000,176941.4,14400000,40500000,1540000,1940000,26000000,6620000,354412.2,10861.9,10684.2,6110000,79820.9,60180.3,
202601,부산광역시,91500000,2220000,168967.6,13700000,47300000,1460000,1660000,24900000,84700000,1890000,159161.1,13700000,40900000,1400000,1610000,24900000,6840000,330691.1,9806.6,9324.8,6390000,59402.1,42076.5,
202602,부산광역시,89000000,2200000,151800.9,12400000,47000000,1640000,1600000,24000000,82200000,1910000,127781.6,12400000,40700000,1570000,1550000,24000000,6750000,287553.6,24019.3,10244.5,6310000,74380.5,45929,
202603,부산광역시,88900000,1950000,242226.2,15800000,44100000,1710000,1770000,23300000,83400000,1700000,225052.6,15800000,39000000,1630000,1730000,23300000,5480000,242386.6,17173.6,19664.3,5070000,87249,36438.3,
202604,부산광역시,85700000,1860000,175497.5,15200000,42100000,1740000,1620000,23000000,80300000,1650000,156445.6,15200000,37100000,1660000,1590000,23000000,5400000,207992.3,19051.9,10478.8,5040000,81219.4,33743.8,
202605,부산광역시,99200000,2450000,169575.1,15500000,49100000,2110000,1890000,28000000,92200000,2200000,145843.6,15500000,42500000,2030000,1840000,28000000,7040000,246078.5,23731.5,12181.4,6610000,87677.7,53002,
202606,부산광역시,86200000,1930000,142249.1,15600000,41600000,1770000,1740000,23400000,80300000,1700000,126207.7,15600000,36100000,1690000,1700000,23400000,5940000,229623.7,16041.4,14994,5560000,75625.2,41843,
