기준연월,시·도코드,시·도명,시·군·구 코드,시·군·구 명,체류강도_지표코드,체류특성,체류특성_강도지수,,"※ ‘체류특성_강도지수’는 
실제 방문자 수 또는 비율(%)을 의미하는 값이 아니라, 
타권역 방문자 비중·숙박 비중·숙박일수별 방문자 수 
등을 기반으로 산출된 관광 체류 강도 세부 지표값입니다. 
따라서 수치가 높을수록 해당 체류 특성이 
강하게 나타나는 것으로 해석합니다.",,,,,
202501,26,부산광역시,26710,기장군,2101,타권역 방문자 비중,89,,,,,,,
202501,26,부산광역시,26710,기장군,2102,숙박 비중,63.06,,,,,,,
202501,26,부산광역시,26710,기장군,2103,1박 방문자수,79.27,,,,,,,
202501,26,부산광역시,26710,기장군,2104,2박 방문자수,80.14,,,,,,,
202501,26,부산광역시,26710,기장군,2105,3박 방문자수,80.98,,,,,,,
202502,26,부산광역시,26110,중구,2101,타권역 방문자 비중,113.48,,,,,,,
202502,26,부산광역시,26110,중구,2102,숙박 비중,55.92,,,,,,,
202502,26,부산광역시,26110,중구,2103,1박 방문자수,65.32,,,,,,,
202502,26,부산광역시,26110,중구,2104,2박 방문자수,65.18,,,,,,,
202502,26,부산광역시,26110,중구,2105,3박 방문자수,66.56,,,,,,,
202502,26,부산광역시,26140,서구,2101,타권역 방문자 비중,82.89,,,,,,,
202502,26,부산광역시,26140,서구,2102,숙박 비중,62.97,,,,,,,
202502,26,부산광역시,26140,서구,2103,1박 방문자수,61.39,,,,,,,
202502,26,부산광역시,26140,서구,2104,2박 방문자수,64.58,,,,,,,
202502,26,부산광역시,26140,서구,2105,3박 방문자수,69.85,,,,,,,
202502,26,부산광역시,26170,동구,2101,타권역 방문자 비중,108.49,,,,,,,
202502,26,부산광역시,26170,동구,2102,숙박 비중,55.33,,,,,,,
202502,26,부산광역시,26170,동구,2103,1박 방문자수,64.46,,,,,,,
202502,26,부산광역시,26170,동구,2104,2박 방문자수,64.9,,,,,,,
202502,26,부산광역시,26170,동구,2105,3박 방문자수,66.31,,,,,,,
202502,26,부산광역시,26200,영도구,2101,타권역 방문자 비중,72.34,,,,,,,
202502,26,부산광역시,26200,영도구,2102,숙박 비중,59.6,,,,,,,
202502,26,부산광역시,26200,영도구,2103,1박 방문자수,58.02,,,,,,,
202502,26,부산광역시,26200,영도구,2104,2박 방문자수,61.42,,,,,,,
202502,26,부산광역시,26200,영도구,2105,3박 방문자수,66.95,,,,,,,
202502,26,부산광역시,26230,부산진구,2101,타권역 방문자 비중,81.01,,,,,,,
202502,26,부산광역시,26230,부산진구,2102,숙박 비중,60.87,,,,,,,
202502,26,부산광역시,26230,부산진구,2103,1박 방문자수,87.92,,,,,,,
202502,26,부산광역시,26230,부산진구,2104,2박 방문자수,80.49,,,,,,,
202502,26,부산광역시,26230,부산진구,2105,3박 방문자수,99.8,,,,,,,
202502,26,부산광역시,26260,동래구,2101,타권역 방문자 비중,73.27,,,,,,,
202502,26,부산광역시,26260,동래구,2102,숙박 비중,60.45,,,,,,,
202502,26,부산광역시,26260,동래구,2103,1박 방문자수,68.09,,,,,,,
202502,26,부산광역시,26260,동래구,2104,2박 방문자수,69.9,,,,,,,
202502,26,부산광역시,26260,동래구,2105,3박 방문자수,85.81,,,,,,,
202502,26,부산광역시,26290,남구,2102,숙박 비중,63.29,,,,,,,
202502,26,부산광역시,26290,남구,2103,1박 방문자수,66,,,,,,,
202502,26,부산광역시,26290,남구,2104,2박 방문자수,68.1,,,,,,,
202502,26,부산광역시,26290,남구,2105,3박 방문자수,83.58,,,,,,,
202502,26,부산광역시,26320,북구,2101,타권역 방문자 비중,53.02,,,,,,,
202502,26,부산광역시,26320,북구,2102,숙박 비중,62.13,,,,,,,
202502,26,부산광역시,26320,북구,2103,1박 방문자수,61.84,,,,,,,
202502,26,부산광역시,26320,북구,2104,2박 방문자수,64.39,,,,,,,
202502,26,부산광역시,26320,북구,2105,3박 방문자수,75.9,,,,,,,
202502,26,부산광역시,26350,해운대구,2101,타권역 방문자 비중,72.68,,,,,,,
202502,26,부산광역시,26350,해운대구,2102,숙박 비중,72.54,,,,,,,
202502,26,부산광역시,26350,해운대구,2103,1박 방문자수,109.66,,,,,,,
202502,26,부산광역시,26350,해운대구,2104,2박 방문자수,115.7,,,,,,,
202502,26,부산광역시,26350,해운대구,2105,3박 방문자수,105.3,,,,,,,
202502,26,부산광역시,26380,사하구,2101,타권역 방문자 비중,54.73,,,,,,,
202502,26,부산광역시,26380,사하구,2102,숙박 비중,65,,,,,,,
202502,26,부산광역시,26380,사하구,2103,1박 방문자수,62.8,,,,,,,
202502,26,부산광역시,26380,사하구,2104,2박 방문자수,65.97,,,,,,,
202502,26,부산광역시,26380,사하구,2105,3박 방문자수,81.55,,,,,,,
202502,26,부산광역시,26410,금정구,2101,타권역 방문자 비중,68.24,,,,,,,
202502,26,부산광역시,26410,금정구,2102,숙박 비중,59.5,,,,,,,
202502,26,부산광역시,26410,금정구,2103,1박 방문자수,61.62,,,,,,,
202502,26,부산광역시,26410,금정구,2104,2박 방문자수,65.16,,,,,,,
202502,26,부산광역시,26410,금정구,2105,3박 방문자수,77.36,,,,,,,
202502,26,부산광역시,26440,강서구,2101,타권역 방문자 비중,91.19,,,,,,,
202502,26,부산광역시,26440,강서구,2102,숙박 비중,54.82,,,,,,,
202502,26,부산광역시,26440,강서구,2103,1박 방문자수,63.08,,,,,,,
202502,26,부산광역시,26440,강서구,2104,2박 방문자수,63.29,,,,,,,
202502,26,부산광역시,26440,강서구,2105,3박 방문자수,73.07,,,,,,,
