연월,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
202604,동구,282746,2991376,1471295,4745417
202604,동래구,29196,3482220,4380866,7892282
202604,부산진구,343387,5772316,6321578,12437281
202604,북구,24175,2004818,4560563,6589556
202604,사상구,94624,2366206,2711530,5172360
202604,사하구,132466,1882206,4442935,6457607
202604,서구,273872,1690294,1622058,3586224
202604,수영구,227033,3177489,2989186,6393708
202604,연제구,43696,2581285,2223050,4848031
202604,영도구,282045,1401082,1810060,3493187
202604,중구,340789,3176096,1139579,4656464
202604,해운대구,572598,5290296,7274116,13137010
202605,강서구,640400,3825542,3075240,7541182
202605,금정구,59845,2907219,3973907,6940971
202605,기장군,253034,4098104,3322823,7673961
202605,남구,272085,2813044,4441080,7526209
202605,동구,317733,3416490,1559838,5294061
202605,동래구,32639,3821114,4495928,8349681
202605,부산진구,384069,6631888,6786930,13802887
202605,북구,24422,2301537,4837574,7163533
202605,사상구,91507,2541508,2908000,5541015
202605,사하구,168797,2246972,4720446,7136215
202605,서구,290301,1883420,1754700,3928421
202605,수영구,254471,3795246,3223678,7273395
202605,연제구,50203,2782157,2354572,5186932
202605,영도구,324775,1771749,2019720,4116244
202605,중구,379734,3634400,1229074,5243208
202605,해운대구,637919,6515691,7760266,14913876
202606,강서구,712741,3551933,3204012,7468686
202606,금정구,55881,2443049,3886092,6385022
202606,기장군,259246,3254640,3289394,6803280
202606,남구,275168,2603391,4425071,7303630
202606,동구,338247,3153514,1586582,5078343
202606,동래구,71131,3456299,4478618,8006048
202606,부산진구,416951,5829562,6676180,12922693
202606,북구,27195,1978578,4738444,6744217
202606,사상구,73294,2351954,2919850,5345098
202606,사하구,152857,1992210,4715837,6860904
202606,서구,293336,1737001,1754736,3785073
202606,수영구,288084,3358530,3182098,6828712
202606,연제구,133626,2830006,2354390,5318022
202606,영도구,336973,1570653,2009266,3916892
202606,중구,389117,3286448,1249178,4924743
202606,해운대구,726217,5552572,7604034,13882823
