연월,지역명,체류시간(분)
202308,해운대구,992
202308,강서구,638
202308,금정구,1133
202308,기장군,661
202308,남구,1260
202308,동구,468
202308,동래구,918
202308,부산진구,865
202308,북구,1242
202308,사상구,1005
202308,사하구,1463
202308,서구,891
202308,수영구,778
202308,연제구,919
202308,영도구,810
202308,중구,354
202309,해운대구,1050
202309,강서구,638
202309,금정구,1513
202309,기장군,652
202309,남구,1496
202309,동구,485
202309,동래구,972
202309,부산진구,938
202309,북구,1282
202309,사상구,1179
202309,사하구,1646
202309,서구,938
202309,수영구,827
202309,연제구,1005
202309,영도구,1225
202309,중구,385
202310,해운대구,884
202310,강서구,575
202310,금정구,853
202310,기장군,589
202310,남구,1020
202310,동구,424
202310,동래구,842
202310,부산진구,760
202310,북구,1058
202310,사상구,881
202310,사하구,1306
202310,서구,799
202310,수영구,743
202310,연제구,863
202310,영도구,632
202310,중구,329
202311,해운대구,911
202311,강서구,610
202311,금정구,928
202311,기장군,657
202311,남구,1061
202311,동구,430
202311,동래구,896
202311,부산진구,761
202311,북구,1124
202311,사상구,886
202311,사하구,1446
202311,서구,841
202311,수영구,761
202311,연제구,866
202311,영도구,736
202311,중구,331
202312,해운대구,996
202312,강서구,626
202312,금정구,1093
202312,기장군,700
202312,남구,1262
202312,동구,460
202312,동래구,1015
202312,부산진구,809
202312,북구,1380
202312,사상구,1009
202312,사하구,1576
202312,서구,921
202312,수영구,854
202312,연제구,1085
202312,영도구,810
202312,중구,337
202401,해운대구,975
202401,강서구,678
202401,금정구,1052
202401,기장군,708
202401,남구,1211
202401,동구,432
202401,동래구,940
202401,부산진구,832
202401,북구,1248
202401,사상구,927
202401,사하구,1450
202401,서구,891
202401,수영구,824
202401,연제구,1019
202401,영도구,798
202401,중구,353
202402,해운대구,1084
202402,강서구,640
202402,금정구,1135
202402,기장군,776
202402,남구,1340
202402,동구,436
202402,동래구,1033
202402,부산진구,878
202402,북구,1328
202402,사상구,1035
202402,사하구,1638
202402,서구,1034
202402,수영구,885
202402,연제구,1056
202402,영도구,923
202402,중구,387
202403,해운대구,999
202403,강서구,625
202403,금정구,1839
202403,기장군,731
202403,남구,1876
202403,동구,448
202403,동래구,949
202403,부산진구,1050
202403,북구,1259
202403,사상구,1233
202403,사하구,1841
202403,서구,964
202403,수영구,874
202403,연제구,1012
202403,영도구,1469
202403,중구,369
202404,해운대구,826
202404,강서구,509
202404,금정구,786
202404,기장군,587
202404,남구,896
202404,동구,376
202404,동래구,762
202404,부산진구,719
202404,북구,997
202404,사상구,717
202404,사하구,1178
202404,서구,724
202404,수영구,689
202404,연제구,775
202404,영도구,726
202404,중구,305
202405,해운대구,845
202405,강서구,547
202405,금정구,826
202405,기장군,604
202405,남구,1049
202405,동구,378
202405,동래구,810
202405,부산진구,729
202405,북구,1070
202405,사상구,856
202405,사하구,1326
202405,서구,795
202405,수영구,714
202405,연제구,860
202405,영도구,703
202405,중구,308
202406,해운대구,828
202406,강서구,530
202406,금정구,843
202406,기장군,641
202406,남구,1011
202406,동구,368
202406,동래구,793
202406,부산진구,752
202406,북구,1053
202406,사상구,833
202406,사하구,1272
202406,서구,757
202406,수영구,704
202406,연제구,824
202406,영도구,660
202406,중구,328
202407,해운대구,910
202407,강서구,612
202407,금정구,944
202407,기장군,664
202407,남구,1087
202407,동구,397
202407,동래구,944
202407,부산진구,791
202407,북구,1107
202407,사상구,829
202407,사하구,1360
202407,서구,804
202407,수영구,733
202407,연제구,884
202407,영도구,705
202407,중구,343
202408,해운대구,902
202408,강서구,581
202408,금정구,1018
202408,기장군,683
202408,남구,1127
202408,동구,387
202408,동래구,861
202408,부산진구,841
202408,북구,1200
202408,사상구,878
202408,사하구,1365
202408,서구,803
202408,수영구,726
202408,연제구,959
202408,영도구,741
202408,중구,360
202409,해운대구,936
202409,강서구,571
202409,금정구,1371
202409,기장군,640
202409,남구,1470
202409,동구,405
202409,동래구,871
202409,부산진구,904
202409,북구,1176
202409,사상구,1069
202409,사하구,1538
202409,서구,889
202409,수영구,737
202409,연제구,927
202409,영도구,1168
202409,중구,333
