행정구,기준연월,업종대분류,현지인 소비액(만원),외지인 소비액(만원),외국인 소비액(만원)
강서구,202407,식음료업,0,1150000,11538
강서구,202407,여가서비스업,7408,95767,637
강서구,202407,여행업,0,3589,142
강서구,202407,운송업,8201,4430000,2923
강서구,202407,의료웰니스업,1864,37268,1763
강서구,202408,쇼핑업,20130,1510000,149508
강서구,202408,숙박업,4900,50182,16108
강서구,202408,식음료업,0,1210000,10713
강서구,202408,여가서비스업,7862,105116,628
강서구,202408,여행업,0,218,0
강서구,202408,운송업,7430,4110000,3010
강서구,202408,의료웰니스업,2291,37986,1876
강서구,202409,쇼핑업,23199,1500000,162282
강서구,202409,숙박업,3484,32801,16204
강서구,202409,식음료업,0,1120000,10605
강서구,202409,여가서비스업,6867,100127,369
강서구,202409,여행업,0,1861,0
강서구,202409,운송업,12388,4120000,2500
강서구,202409,의료웰니스업,2073,33994,1966
강서구,202410,쇼핑업,35677,1520000,191205
강서구,202410,숙박업,3542,36463,18941
강서구,202410,식음료업,0,1140000,14999
강서구,202410,여가서비스업,5227,107844,1657
강서구,202410,여행업,0,1237,629
강서구,202410,운송업,12628,4760000,3439
강서구,202410,의료웰니스업,2178,35909,3805
강서구,202411,쇼핑업,29511,1500000,191686
강서구,202411,숙박업,3057,34917,19483
강서구,202411,식음료업,0,1090000,13589
강서구,202411,여가서비스업,5081,98434,351
강서구,202411,여행업,0,200,49
강서구,202411,운송업,9604,4670000,2955
강서구,202411,의료웰니스업,2906,37531,3302
강서구,202412,쇼핑업,35761,1530000,161849
강서구,202412,숙박업,4728,38665,17070
강서구,202412,식음료업,0,1160000,12226
강서구,202412,여가서비스업,7309,90718,365
강서구,202412,여행업,0,2063,129
강서구,202412,운송업,9832,4950000,2649
강서구,202412,의료웰니스업,3317,37909,2141
강서구,202501,쇼핑업,29325,1600000,134498
강서구,202501,숙박업,4486,45014,12783
강서구,202501,식음료업,0,1140000,8116
강서구,202501,여가서비스업,4977,78488,579
강서구,202501,여행업,0,505,0
강서구,202501,운송업,6130,3620000,1902
강서구,202501,의료웰니스업,3239,39621,1280
강서구,202502,쇼핑업,21942,1340000,138626
강서구,202502,숙박업,3183,37975,13947
강서구,202502,식음료업,0,1000000,9333
강서구,202502,여가서비스업,2959,69855,243
강서구,202502,여행업,0,2994,306
강서구,202502,운송업,9668,3780000,2351
강서구,202502,의료웰니스업,2319,36303,1089
강서구,202503,쇼핑업,19235,1490000,190862
강서구,202503,숙박업,5131,44438,18466
강서구,202503,식음료업,0,1160000,13116
강서구,202503,여가서비스업,4058,80394,437
강서구,202503,여행업,0,2843,16
강서구,202503,운송업,5569,4080000,3018
강서구,202503,의료웰니스업,3008,37979,1840
강서구,202504,쇼핑업,27972,1440000,214580
강서구,202504,숙박업,16423,33245,13092
강서구,202504,식음료업,0,1110000,14903
강서구,202504,여가서비스업,4242,86249,676
강서구,202504,여행업,1526,4001,0
강서구,202504,운송업,6397,3830000,3737
강서구,202504,의료웰니스업,2623,37714,3507
강서구,202505,쇼핑업,25761,1570000,235982
강서구,202505,숙박업,4219,38519,13771
강서구,202505,식음료업,0,1270000,14173
강서구,202505,여가서비스업,6467,97541,512
강서구,202505,여행업,0,13321,0
강서구,202505,운송업,6999,4010000,3621
강서구,202505,의료웰니스업,2356,40997,2260
강서구,202506,쇼핑업,21805,1460000,223455
강서구,202506,숙박업,4650,27613,16849
강서구,202506,식음료업,0,1140000,11725
강서구,202506,여가서비스업,4507,93082,1130
강서구,202506,여행업,4995,513,10
강서구,202506,운송업,5804,3680000,3288
강서구,202506,의료웰니스업,2155,35350,2895
강서구,202507,쇼핑업,19741,1570000,128144
강서구,202507,숙박업,9131,37481,14823
강서구,202507,식음료업,0,1260000,14802
강서구,202507,여가서비스업,6720,80329,756
강서구,202507,여행업,0,16188,167
강서구,202507,운송업,5460,3960000,3640
강서구,202507,의료웰니스업,1354,41003,2765
강서구,202508,쇼핑업,21852,1620000,143507
강서구,202508,숙박업,3875,40117,13236
강서구,202508,식음료업,0,1310000,14191
강서구,202508,여가서비스업,4121,92071,746
강서구,202508,여행업,0,3799,10
강서구,202508,운송업,5890,3680000,3500
강서구,202508,의료웰니스업,1972,41440,2586
강서구,202509,쇼핑업,17939,1510000,174291
강서구,202509,숙박업,2934,30205,22658
강서구,202509,식음료업,0,1130000,15064
강서구,202509,여가서비스업,2402,75121,430
강서구,202509,여행업,0,3434,74
강서구,202509,운송업,5274,4080000,4493
강서구,202509,의료웰니스업,2081,38567,2425
강서구,202510,쇼핑업,33657,1780000,149556
강서구,202510,숙박업,3175,39519,16928
강서구,202510,식음료업,0,1320000,16003
강서구,202510,여가서비스업,2590,97610,441
강서구,202510,여행업,0,4221,338
강서구,202510,운송업,5789,4140000,4011
강서구,202510,의료웰니스업,2173,40711,4706
강서구,202511,쇼핑업,35801,1620000,176298
강서구,202511,숙박업,5427,32979,17524
강서구,202511,식음료업,0,1190000,13096
강서구,202511,여가서비스업,2796,86084,378
강서구,202511,여행업,0,5396,38
강서구,202511,운송업,7179,4780000,3714
강서구,202511,의료웰니스업,3295,44693,2480
강서구,202512,쇼핑업,31115,1680000,137275
강서구,202512,숙박업,2780,32364,13725
강서구,202512,식음료업,0,1320000,11481
강서구,202512,여가서비스업,3404,66560,563
강서구,202512,여행업,0,4394,121
강서구,202512,운송업,6986,5430000,3145
강서구,202512,의료웰니스업,3155,47168,3012
강서구,202601,쇼핑업,24010,1710000,117127
강서구,202601,숙박업,5252,32438,15541
강서구,202601,식음료업,0,1330000,13989
강서구,202601,여가서비스업,2754,65393,354
강서구,202601,여행업,0,5833,52
강서구,202601,운송업,7661,4990000,2296
강서구,202601,의료웰니스업,3659,46037,2013
강서구,202602,쇼핑업,19517,1620000,130294
강서구,202602,숙박업,4340,27789,10675
강서구,202602,식음료업,0,1210000,9864
강서구,202602,여가서비스업,2548,72982,440
강서구,202602,여행업,0,3580,64
강서구,202602,운송업,6836,4500000,2497
강서구,202602,의료웰니스업,3330,39870,1412
강서구,202603,쇼핑업,33614,1670000,220562
강서구,202603,숙박업,3485,29371,25008
강서구,202603,식음료업,0,1240000,22712
강서구,202603,여가서비스업,3930,75841,893
강서구,202603,여행업,0,965,15
강서구,202603,운송업,18198,6450000,4286
강서구,202603,의료웰니스업,2623,49664,2684
강서구,202604,쇼핑업,33678,1570000,239948
강서구,202604,숙박업,3041,32337,26844
강서구,202604,식음료업,0,1230000,25064
강서구,202604,여가서비스업,2385,76300,649
강서구,202604,여행업,802,4368,11
강서구,202604,운송업,6263,5440000,5787
강서구,202604,의료웰니스업,2936,45336,3215
강서구,202605,쇼핑업,38056,1610000,278706
강서구,202605,숙박업,5051,35387,21842
강서구,202605,식음료업,0,1400000,28116
강서구,202605,여가서비스업,4654,97005,1672
강서구,202605,여행업,3315,4863,198
강서구,202605,운송업,8512,5150000,5104
강서구,202605,의료웰니스업,1993,49043,3152
강서구,202606,쇼핑업,24865,1440000,289400
강서구,202606,숙박업,2417,33999,30417
강서구,202606,식음료업,0,1200000,25705
강서구,202606,여가서비스업,3608,81600,1503
강서구,202606,여행업,0,5886,673
강서구,202606,운송업,11971,5510000,4972
강서구,202606,의료웰니스업,2344,44360,3735
금정구,202301,쇼핑업,88702,861323,9771
금정구,202301,숙박업,3757,10235,84
금정구,202301,식음료업,0,987830,5299
금정구,202301,여가서비스업,13425,114645,1105
금정구,202301,여행업,1014,6307,0
금정구,202301,운송업,0,367870,468
금정구,202301,의료웰니스업,6557,83413,1771
금정구,202302,쇼핑업,91196,716381,9574
금정구,202302,숙박업,2959,10867,189
금정구,202302,식음료업,0,936527,5245
금정구,202302,여가서비스업,10552,115762,1174
금정구,202302,여행업,0,14774,0
