연월,1박,2박,3박,4박,5박,6박,7박이상,전체,전년 1박,전년 2박,전년 3박,전년 4박,전년 5박,전년 6박,전년 7박이상,전년 전체,전년 대비 1박 증감률,전년 대비 2박 증감률,전년 대비 3박 증감률,전년 대비 4박 증감률,전년 대비 5박 증감률,전년 대비 6박 증감률,전년 대비 7박이상 증감률
202310,62,22.1,6.3,2.7,1.5,1,4.4,100,61.3,22.4,6.6,2.8,1.5,1,4.3,100,0.7,-0.3,-0.3,-0.1,0,0,0.1
202311,62.1,20.4,6.5,3.1,1.7,1.1,5.1,100,61.7,20.7,6.7,2.9,1.7,1.1,5,100,0.4,-0.3,-0.2,0.2,0,0,0.1
202312,60.3,22,7.2,3,1.7,1.1,4.8,100,62.4,20.8,6.5,2.7,1.6,1.1,4.9,100,-2.1,1.2,0.7,0.3,0.1,0,-0.1
202401,60.9,21.1,6.5,3,1.8,1.2,5.5,100,57.4,22.7,7.9,3.8,2,1.3,4.9,100,3.5,-1.6,-1.4,-0.8,-0.2,-0.1,0.6
202402,57.1,22.7,8.2,3.9,2,1.2,4.8,100,61.1,22,6.2,2.8,1.6,1.1,5.1,100,-4,0.7,2,1.1,0.4,0.1,-0.3
202403,59.6,19.5,6.1,3.9,2.6,1.5,6.9,100,59.4,19.2,6.6,3.7,2.8,1.4,6.8,100,0.2,0.3,-0.5,0.2,-0.2,0.1,0.1
202404,62.5,20.5,6.4,2.9,1.7,1.1,5,100,63.5,20.5,6.4,2.6,1.6,1.1,4.3,100,-1,0,0,0.3,0.1,0,0.7
202405,61,21.7,7,3,1.7,1,4.5,100,59.7,22.4,7.6,3,1.7,1,4.6,100,1.3,-0.7,-0.6,0,0,0,-0.1
202406,62.3,20.7,6.7,2.9,1.7,1.1,4.6,100,61.4,20.7,6.7,3.1,1.8,1.1,5.1,100,0.9,0,0,-0.2,-0.1,0,-0.5
202407,59.1,22.6,7.4,3.2,1.9,1.1,4.8,100,59.2,22.5,7.2,3.1,1.8,1.1,5.1,100,-0.1,0.1,0.2,0.1,0.1,0,-0.3
202408,58.2,24.3,7.4,3,1.7,1,4.3,100,57.2,24.1,7.8,3.5,1.8,1.1,4.5,100,1,0.2,-0.4,-0.5,-0.1,-0.1,-0.2
202409,56.8,21.5,8.4,4.2,2.6,1.3,5.3,100,57.8,21.6,9.1,3.5,1.8,1,5,100,-1,-0.1,-0.7,0.7,0.8,0.3,0.3
202410,61.5,20.7,6.8,3.2,1.8,1.5,4.5,100,62,22.1,6.3,2.7,1.5,1,4.4,100,-0.5,-1.4,0.5,0.5,0.3,0.5,0.1
202411,63.5,20.4,6.3,2.7,1.6,1,4.5,100,62.1,20.4,6.5,3.1,1.7,1.1,5.1,100,1.4,0,-0.2,-0.4,-0.1,-0.1,-0.6
202412,63.1,19.9,6.3,2.9,1.8,1.1,4.9,100,60.3,22,7.2,3,1.7,1.1,4.8,100,2.8,-2.1,-0.9,-0.1,0.1,0,0.1
202501,56.9,22.6,8.3,4,2.3,1.4,4.5,100,60.9,21.1,6.5,3,1.8,1.2,5.5,100,-4,1.5,1.8,1,0.5,0.2,-1
202502,62.3,20.1,6.3,3,1.8,1.2,5.3,100,57.1,22.7,8.2,3.9,2,1.2,4.8,100,5.2,-2.6,-1.9,-0.9,-0.2,0,0.5
202503,59.4,20.1,6.6,3.5,2.4,1.4,6.6,100,59.6,19.5,6.1,3.9,2.6,1.5,6.9,100,-0.2,0.6,0.5,-0.4,-0.2,-0.1,-0.3
202504,62.3,20.2,6.7,2.9,1.7,1.1,5.1,100,62.5,20.5,6.4,2.9,1.7,1.1,5,100,-0.2,-0.3,0.3,0,0,0,0.1
202505,56.8,22,7.7,3.7,2.2,1.3,6.4,100,61,21.7,7,3,1.7,1,4.5,100,-4.2,0.3,0.7,0.7,0.5,0.3,1.9
202506,60,21.4,6.7,3.2,1.8,1.2,5.6,100,62.3,20.7,6.7,2.9,1.7,1.1,4.6,100,-2.3,0.7,0,0.3,0.1,0.1,1
202507,57.3,23,7.7,3.4,1.9,1.2,5.6,100,59.1,22.6,7.4,3.2,1.9,1.1,4.8,100,-1.8,0.4,0.3,0.2,0,0.1,0.8
202508,57.6,24.7,7.5,3,1.7,1.1,4.4,100,58.2,24.3,7.4,3,1.7,1,4.3,100,-0.6,0.4,0.1,0,0,0.1,0.1
202509,58.6,20.8,6.8,3.8,2.3,1.4,6.3,100,56.8,21.5,8.4,4.2,2.6,1.3,5.3,100,1.8,-0.7,-1.6,-0.4,-0.3,0.1,1
202510,53.4,23.5,9.3,4.5,2.6,1.7,5,100,61.5,20.7,6.8,3.2,1.8,1.5,4.5,100,-8.1,2.8,2.5,1.3,0.8,0.2,0.5
202511,63.4,19.3,6.2,3.1,1.8,1.1,5.1,100,63.5,20.4,6.3,2.7,1.6,1,4.5,100,-0.1,-1.1,-0.1,0.4,0.2,0.1,0.6
202512,62,20.4,6.6,3,1.8,1.1,5.1,100,63.1,19.9,6.3,2.9,1.8,1.1,4.9,100,-1.1,0.5,0.3,0.1,0,0,0.2
202601,60.2,21.2,6.8,3,1.9,1.2,5.8,100,56.9,22.6,8.3,4,2.3,1.4,4.5,100,3.3,-1.4,-1.5,-1,-0.4,-0.2,1.3
202602,57.2,22.6,8.2,3.9,2.3,1.3,4.6,100,62.3,20.1,6.3,3,1.8,1.2,5.3,100,-5.1,2.5,1.9,0.9,0.5,0.1,-0.7
202603,59.9,18.4,6.4,3.8,2.8,1.5,7.1,100,59.4,20.1,6.6,3.5,2.4,1.4,6.6,100,0.5,-1.7,-0.2,0.3,0.4,0.1,0.5
202604,62.1,20.7,6.6,2.9,1.7,1.1,4.9,100,62.3,20.2,6.7,2.9,1.7,1.1,5.1,100,-0.2,0.5,-0.1,0,0,0,-0.2
202605,58.9,23.5,7.4,3.4,1.6,1,4.1,100,56.8,22,7.7,3.7,2.2,1.3,6.4,100,2.1,1.5,-0.3,-0.3,-0.6,-0.3,-2.3
202606,60.6,21.2,6.6,3.2,1.9,1.2,5.4,100,60,21.4,6.7,3.2,1.8,1.2,5.6,100,0.6,-0.2,-0.1,0,0.1,0,-0.2
