기준연월,행정동,업종대분류명,외지인 소비액(만원),현지인 소비액(만원)
202202,부산진구,여행업,16288,2363
202202,부산진구,운송업,216102,323
202202,부산진구,의료웰니스업,229171,0
202202,북구,쇼핑업,4800000,28142
202202,북구,숙박업,18018,7366
202202,북구,식음료업,375651,0
202202,북구,여가서비스업,16768,3282
202202,북구,여행업,211,491
202202,북구,운송업,504160,347
202202,북구,의료웰니스업,39279,0
202202,사상구,쇼핑업,790607,6108
202202,사상구,숙박업,20040,5752
202202,사상구,식음료업,482171,0
202202,사상구,여가서비스업,27560,412
202202,사상구,운송업,1070000,713
202202,사상구,의료웰니스업,31388,731
202202,사하구,쇼핑업,476245,8736
202202,사하구,숙박업,13103,5850
202202,사하구,식음료업,413022,0
202202,사하구,여가서비스업,18353,1268
202202,사하구,운송업,564418,364
202202,사하구,의료웰니스업,39606,0
202202,서구,쇼핑업,319538,1637
202202,서구,숙박업,36529,1320
202202,서구,식음료업,285657,0
202202,서구,여가서비스업,56330,564
202202,서구,여행업,0,160
202202,서구,운송업,157876,0
202202,서구,의료웰니스업,12538,0
202202,수영구,쇼핑업,801536,2116
202202,수영구,숙박업,36139,3417
202202,수영구,식음료업,1150000,0
202202,수영구,여가서비스업,47530,782
202202,수영구,여행업,470,13
202202,수영구,운송업,208158,88
202202,수영구,의료웰니스업,62481,102
202202,연제구,쇼핑업,1330000,7224
202202,연제구,숙박업,18263,2999
202202,연제구,식음료업,588192,0
202202,연제구,여가서비스업,33412,476
202202,연제구,여행업,1158,0
202202,연제구,운송업,601917,74
202202,연제구,의료웰니스업,58713,0
202202,영도구,쇼핑업,138046,2508
202202,영도구,숙박업,25260,1505
202202,영도구,식음료업,258420,0
202202,영도구,여가서비스업,8727,1143
202202,영도구,여행업,76,6
202202,영도구,운송업,55705,1118
202202,영도구,의료웰니스업,7995,6572
202202,중구,쇼핑업,1120000,26623
202202,중구,숙박업,40290,1119
202202,중구,식음료업,761838,0
202202,중구,여가서비스업,22330,760
202202,중구,여행업,2633,0
202202,중구,운송업,29926,0
202202,중구,의료웰니스업,54439,0
202202,해운대구,쇼핑업,9310000,4630000
202202,해운대구,숙박업,774780,150202
202202,해운대구,식음료업,1950000,0
202202,해운대구,여가서비스업,133335,14630
202202,해운대구,여행업,8839,0
202202,해운대구,운송업,466723,451
202202,해운대구,의료웰니스업,140190,1068
202203,강서구,쇼핑업,896676,19461
202203,강서구,숙박업,35623,3021
202203,강서구,식음료업,677982,0
