연월,행정구,평균이용금액,평균이용건수,건당평균이용금액,30일기준이용금액
202310,북구,19869.426923076924,5784,3,90
202310,사상구,17240.125,5135,3,95
202310,사하구,13500.946875,4428,3,90
202310,서구,8126.551538461538,2085,3,105
202310,수영구,18394.515,5498,3,97
202310,연제구,17152.725000000002,4560,3,108
202310,영도구,5706.336363636364,2072,2,79
202310,중구,13405.826666666668,3428,3,101
202310,해운대구,25269.315555555557,5806,3,106
202311,강서구,31594.59875,5793,5,173
202311,금정구,13088.113125,3841,3,115
202311,기장군,46228.335999999996,9383,5,153
202311,남구,12212.674705882353,3892,3,104
202311,동구,9064.078333333333,2814,3,90
202311,동래구,21656.81,5423,3,113
202311,부산진구,23533.2595,6280,3,102
202311,북구,19761.09230769231,5626,3,92
202311,사상구,17698.255833333333,5093,3,99
202311,사하구,13686.206875,4299,3,94
202311,서구,8551.053076923077,2043,3,112
202311,수영구,18762.492000000002,5335,3,101
202311,연제구,16719.29333333333,4528,3,108
202311,영도구,5649.820000000001,1994,2,82
202311,중구,13525.876666666667,3325,3,105
202311,해운대구,26355.582222222223,5686,3,111
202312,강서구,30782.142499999998,5667,5,176
202312,금정구,12640.446875,3668,3,119
202312,기장군,49721.594,9625,5,162
202312,남구,12232.716470588235,3742,3,107
202312,동구,9070.464166666667,2771,3,93
202312,동래구,22710.84923076923,5385,3,119
202312,부산진구,24715.188000000002,6307,3,108
202312,북구,20483.967692307695,5627,3,95
202312,사상구,17975.1025,4969,3,103
202312,사하구,13933.7475,4216,3,97
202312,서구,8514.544615384615,1947,3,116
202312,수영구,20331.907,5319,3,108
202312,연제구,17585.406666666666,4471,3,113
202312,영도구,5870.6618181818185,1953,2,85
202312,중구,15128.557777777776,3679,3,107
202312,해운대구,27715.981111111112,5763,3,114
202401,강서구,30030.05125,5546,5,171
202401,금정구,11999.215624999999,3436,3,112
202401,기장군,43253.166000000005,9049,4,149
202401,남구,11648.639411764705,3541,3,108
202401,동구,8675.281666666668,2705,3,90
202401,동래구,22148.782307692305,5339,3,117
202401,부산진구,23737.218,6106,3,108
202401,북구,19851.493076923078,5506,3,94
202401,사상구,16837.265833333335,4726,3,101
202401,사하구,13242.875625,4075,3,95
202401,서구,8580.49,1935,3,116
202401,수영구,20670.477,5247,3,109
202401,연제구,17985.344999999998,4460,3,115
202401,영도구,5564.327272727272,1876,2,84
202401,중구,12890.857777777777,3254,3,104
202401,해운대구,25175.995,5490,3,112
202402,강서구,29310.5925,5546,5,166
202402,금정구,12771.62375,3410,3,114
202402,기장군,46697.134000000005,9480,5,154
202402,남구,11788.708235294118,3548,3,108
202402,동구,8508.155833333332,2721,2,89
202402,동래구,22582.62769230769,5357,3,119
202402,부산진구,23705.8775,6154,3,106
202402,북구,20529.435384615386,5601,3,94
202402,사상구,17681.19583333333,4761,3,105
202402,사하구,13675.399374999999,4149,3,96
202402,서구,8431.669230769232,1923,3,117
202402,수영구,21549.93,5325,3,110
202402,연제구,17569.454166666666,4511,3,113
202402,영도구,5776.492727272727,1923,2,84
202402,중구,13145.944444444445,3291,3,104
202402,해운대구,25797.125555555554,5520,3,113
202403,강서구,29296.87875,5799,5,160
202403,금정구,12555.306875,3754,3,109
202403,기장군,45968.032,9732,4,145
202403,남구,11934.14705882353,3880,3,101
202403,동구,8507.2575,2765,2,84
202403,동래구,21834.11846153846,5589,3,110
202403,부산진구,22806.7905,6323,3,100
202403,북구,19986.728461538463,5776,2,89
202403,사상구,17126.588333333333,5041,3,95
202403,사하구,13439.11375,4366,3,90
202403,서구,7560.006153846154,1980,3,106
202403,수영구,20716.681,5388,3,104
202403,연제구,17058.636666666665,4656,3,105
202403,영도구,5698.358181818182,2023,2,79
202403,중구,12895.42,3323,3,104
202403,해운대구,24402.95666666667,5559,3,106
202404,강서구,29152.5025,5973,5,157
202404,금정구,12433.698124999999,3927,3,105
202404,기장군,44911.006,9841,4,143
202404,남구,11923.32705882353,4023,3,98
202404,동구,8726.620833333332,2863,2,82
202404,동래구,21906.472307692307,5779,3,107
202404,부산진구,22868.601499999997,6525,3,97
202404,북구,19662.18846153846,5901,2,87
202404,사상구,17067.878333333334,5191,3,92
202404,사하구,13623.518125,4572,2,88
202404,서구,7895.400000000001,2096,3,103
202404,수영구,20807.395,5644,3,101
202404,연제구,16790.744166666667,4831,3,100
202404,영도구,5738.618181818182,2095,2,77
202404,중구,12729.71,3333,3,101
202404,해운대구,24464.059444444443,5688,3,104
202405,강서구,28639.26125,5998,5,153
202405,금정구,12940.973125,3966,3,107
202405,기장군,46736.454000000005,10351,4,142
202405,남구,12084.174117647059,4017,3,99
202405,동구,8812.861666666666,2920,2,81
202405,동래구,22071.438461538462,5867,3,107
202405,부산진구,23140.36,6646,3,97
202405,북구,19984.89307692308,5978,2,87
202405,사상구,17191.287500000002,5195,3,93
202405,사하구,14106.97875,4637,2,89
202405,서구,7921.6030769230765,2102,3,103
202405,수영구,20624.94,5810,3,100
202405,연제구,17423.8775,4866,3,104
202405,영도구,5976.219090909091,2154,2,77
202405,중구,13313.272222222222,3503,3,100
202405,해운대구,25232.76722222222,5827,3,104
202406,강서구,28327.94,6029,5,151
202406,금정구,12250.6425,3869,3,104
202406,기장군,44261.840000000004,10098,4,136
202406,남구,11984.38411764706,4060,3,98
202406,동구,8796.419166666667,2964,2,82
202406,동래구,21829.843846153843,5915,3,104
202406,부산진구,22188.0515,6527,3,95
202406,북구,19750.865384615383,5995,2,86
202406,사상구,17023.37,5197,3,92
202406,사하구,13801.313125,4624,2,87
202406,서구,7751.4353846153845,2093,3,100
202406,수영구,18783.349,5650,3,96
202406,연제구,17114.0775,4898,3,102
202406,영도구,5891.069090909091,2168,2,76
202406,중구,12761.705555555556,3473,3,96
202406,해운대구,24926.167222222222,5958,3,101
202407,강서구,28678.96125,6066,5,151
202407,금정구,11815.6075,3685,3,102
202407,기장군,43133.824,9985,4,133
202407,남구,11947.380588235294,3907,3,100
202407,동구,8633.474166666665,2959,2,81
202407,동래구,21866.681538461537,5862,3,106
202407,부산진구,22662.701,6536,3,97
202407,북구,19954.39846153846,5995,2,86
202407,사상구,17069.083333333332,5131,3,93
202407,사하구,13833.09125,4596,2,88
202407,서구,8258.985384615384,2119,3,104
202407,수영구,19073.298,5828,3,95
202407,연제구,17321.658333333333,4974,3,102
202407,영도구,5848.249090909091,2106,2,77
202407,중구,12561.221111111112,3476,3,95
