연월,행정구,업종대분류,평균이용금액(만원),평균이용건수
202302,남구,비관광,1517,51
202302,남구,쇼핑업,7172,1921
202302,남구,여가서비스업,5233,884
202302,남구,여행/숙박업,1573,636
202302,남구,운송업,1451,133
202302,남구,음식/주점,8382,2599
202302,남구,음식료품,1802,705
202302,남구,의료휄니스업,6129,886
202302,동구,비관광,437,14
202302,동구,쇼핑업,2850,837
202302,동구,여가서비스업,2054,361
202302,동구,여행/숙박업,692,337
202302,동구,운송업,567,53
202302,동구,음식/주점,3598,1098
202302,동구,음식료품,705,265
202302,동구,의료휄니스업,2573,392
202302,동래구,비관광,2812,84
202302,동래구,쇼핑업,9570,2576
202302,동래구,여가서비스업,6274,1147
202302,동래구,여행/숙박업,2013,779
202302,동래구,운송업,1710,164
202302,동래구,음식/주점,11424,3509
202302,동래구,음식료품,2628,1024
202302,동래구,의료휄니스업,8391,1251
202302,부산진구,비관광,1459,45
202302,부산진구,쇼핑업,7706,2221
202302,부산진구,여가서비스업,5252,977
202302,부산진구,여행/숙박업,1677,803
202302,부산진구,운송업,1247,135
202302,부산진구,음식/주점,9530,2956
202302,부산진구,음식료품,1904,800
202302,부산진구,의료휄니스업,6558,1010
202302,북구,비관광,2123,65
202302,북구,쇼핑업,8690,2429
202302,북구,여가서비스업,6729,1168
202302,북구,여행/숙박업,1573,718
202302,북구,운송업,2293,168
202302,북구,음식/주점,10760,3270
202302,북구,음식료품,2469,1034
202302,북구,의료휄니스업,7191,1187
202302,사상구,비관광,1250,40
202302,사상구,쇼핑업,6730,2077
202302,사상구,여가서비스업,5384,946
202302,사상구,여행/숙박업,1341,717
202302,사상구,운송업,1377,130
202302,사상구,음식/주점,8869,2601
202302,사상구,음식료품,1905,733
202302,사상구,의료휄니스업,6041,1003
202302,사하구,비관광,1619,49
202302,사하구,쇼핑업,7721,2262
202302,사하구,여가서비스업,5718,1020
202302,사하구,여행/숙박업,1525,777
202302,사하구,운송업,1672,145
202302,사하구,음식/주점,9600,2868
202302,사하구,음식료품,2099,777
202302,사하구,의료휄니스업,6933,1141
202302,서구,비관광,605,18
202302,서구,쇼핑업,3150,863
202302,서구,여가서비스업,2104,392
202302,서구,여행/숙박업,695,381
202302,서구,운송업,383,49
202302,서구,음식/주점,4036,1174
202302,서구,음식료품,799,289
202302,서구,의료휄니스업,3096,459
202302,수영구,비관광,1571,46
202302,수영구,쇼핑업,8495,2273
202302,수영구,여가서비스업,5391,957
202302,수영구,여행/숙박업,1779,716
202302,수영구,운송업,1366,136
202302,수영구,음식/주점,10090,3121
