행정구명,사업장명,업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
강서구,호텔오유,숙박업 기타,영업/정상,영업,201910,,"부산광역시 강서구 명지국제6로 21, 도형건설 10층 (명지동)",,128.90174708,35.09220127
강서구,호텔프렌치코드,여관업,영업/정상,영업,200102,,부산광역시 강서구 명지오션시티5로 8 (명지동),,128.9041989,35.08361361
금정구,(주)덴바스타호텔 구서점,관광호텔,영업/정상,영업,201408,,부산광역시 금정구 금정로 242 (구서동),,129.09201645,35.24482084
금정구,(주)블랑모텔,여관업,영업/정상,영업,200211,,부산광역시 금정구 서동로 193-15 (서동),,129.10767024,35.21499333
금정구,HOTEL YOUAIN(유아인),여관업,영업/정상,영업,200310,,부산광역시 금정구 온천장로125번길 28-12 (장전동),,129.08437429,35.22319963
금정구,No.25호텔,여관업,영업/정상,영업,200308,,부산광역시 금정구 서동로 193-11 (서동),,129.10757835,35.21481016
금정구,골든장,여관업,영업/정상,영업,199010,,부산광역시 금정구 서동로 187-16 (서동),,129.10718609,35.21483606
금정구,굿타임,숙박업(생활),영업/정상,영업,198906,,부산광역시 금정구 서동로176번길 14-4 (서동),,129.10503921,35.21402993
금정구,늘봄장,여관업,영업/정상,영업,198910,,부산광역시 금정구 서동로186번길 5-1 (서동),,129.10686723,35.21396521
금정구,늘채움,숙박업(생활),영업/정상,영업,198110,,부산광역시 금정구 서동로176번길 14-9 (서동),,129.10461055,35.21390928
금정구,늘푸른,숙박업(생활),영업/정상,영업,199011,,부산광역시 금정구 서동로 187-14 (서동),,129.10733891,35.21479225
금정구,대도 여관,여관업,영업/정상,영업,198912,,부산광역시 금정구 온천장로125번길 28-11 (장전동),,129.08421054,35.2234363
금정구,동진여관,여관업,영업/정상,영업,201311,,"부산광역시 금정구 서동중심로 57, 2,3층 (서동)",,129.10313664,35.21400447
금정구,드림모텔,여관업,영업/정상,영업,198911,,부산광역시 금정구 개좌로 89-7 (금사동),,129.11258435,35.22078266
금정구,디웰 호텔,일반호텔,영업/정상,영업,202207,,"부산광역시 금정구 중앙대로1929번길 8-16, 그랜드모텔 (구서동)",,129.09086913,35.25724794
금정구,라빌라포레호텔(la villa foret),여관업,영업/정상,영업,200212,,부산광역시 금정구 중앙대로 1931 (구서동),,129.09090024,35.25678758
금정구,로망스모텔,여관업,영업/정상,영업,198906,,부산광역시 금정구 식물원로9번길 29 (장전동),,129.08610979,35.22269703
금정구,로얄빌,숙박업(생활),영업/정상,영업,198907,,부산광역시 금정구 서동로175번길 23 (서동),,129.10690063,35.21514607
금정구,로즈베이2 (RoseBay2),여관업,영업/정상,영업,200405,,부산광역시 금정구 금정로237번길 36 (구서동),,129.0916661,35.24798943
금정구,로즈베이호텔,숙박업(생활),영업/정상,영업,200212,,부산광역시 금정구 금정로237번길 36 (구서동),,129.0916661,35.24798943
금정구,로즈빌,숙박업(생활),영업/정상,영업,200110,,부산광역시 금정구 서동로194번길 24 (서동),,129.10667904,35.21339942
금정구,마산여인숙,여인숙업,영업/정상,영업,197302,,부산광역시 금정구 서동로134번길 25-21 (서동),,129.10104088,35.21415215
금정구,마이홈모텔,여관업,영업/정상,영업,198908,,부산광역시 금정구 서동로175번길 19 (서동),,129.10681753,35.21505693
금정구,만리장여관 1986,여관업,영업/정상,영업,198609,,부산광역시 금정구 온천장로125번안길 6 (장전동),,129.08306599,35.22382771
금정구,맥스(MAX) 모텔,여관업,영업/정상,영업,198511,,부산광역시 금정구 온천장로125번길 10 (장전동),,129.08484333,35.22260256
금정구,모텔 델루나,여관업,영업/정상,영업,198006,,부산광역시 금정구 온천장로125번길 74-6 (장전동),,129.08245751,35.22439988
