행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
수영구,오션스테이호텔,호스텔업,영업,201904,,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 B동 7층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,129.12452,35.15396447
수영구,오션투헤븐,소형호텔업,영업,201904,,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 A동 5~6층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,129.12452,35.15396447
수영구,바뮤호텔,호스텔업,영업,201904,,부산광역시 수영구 민락수변로 15 (민락동),부산광역시 수영구 민락동 181-145,129.1242024,35.15452233
수영구,H-에비뉴 광안리해변점,관광호텔업,영업,201903,,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 8~10층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,129.12452,35.15396447
수영구,브라운도트 호텔 수영,호스텔업,영업,201902,,부산광역시 수영구 망미번영로52번길 112 (수영동),부산광역시 수영구 수영동 450-5,129.1141312,35.16860541
수영구,허니슬립,호스텔업,영업,201901,,부산광역시 수영구 광남로 158 (민락동),부산광역시 수영구 민락동 184-36,129.1186029,35.15515956
수영구,베스트루이스해밀턴호텔 광안점,관광호텔업,영업,201901,,부산광역시 수영구 광안해변로 276 (민락동),부산광역시 수영구 민락동 181-205,129.1240052,35.15561301
해운대구,송정 미연,호스텔업,영업,201810,,"부산광역시 해운대구 송정광어골로 58-1, 3~5층 (송정동)",부산광역시 해운대구 송정동 438-11,129.1958229,35.17645258
해운대구,부산 송정 놀다가(GO) 풀빌라 펜션,호스텔업,영업,201810,,부산광역시 해운대구 송정구덕포길 130 (송정동),부산광역시 해운대구 송정동 809,129.197155,35.17006049
해운대구,선트리호텔,관광호텔업,영업,201807,,부산광역시 해운대구 달맞이길 209 (중동),부산광역시 해운대구 중동 1488-7,129.1832107,35.15950379
수영구,호스텔 휴,호스텔업,영업,201804,,"부산광역시 수영구 광남로 132, 6층 (광안동)",부산광역시 수영구 광안동 194-8,129.1170718,35.15318994
중구,넘버25호텔 대청점,관광호텔업,휴업,201801,,부산광역시 중구 대청로 107 (대청동2가),부산광역시 중구 대청동2가 7-1,129.0316853,35.10311908
수영구,마레파티하우스,호스텔업,영업,201712,,"부산광역시 수영구 민락수변로7번길 20, 2층,7층 (민락동)",부산광역시 수영구 민락동 181-150,129.1248064,35.15530288
수영구,레드 하우스,호스텔업,영업,201711,,부산광역시 수영구 민락본동로11번길 79 (민락동),부산광역시 수영구 민락동 182-4,129.1245814,35.15653596
수영구,호텔1,관광호텔업,영업,201710,,부산광역시 수영구 광안해변로 203 (광안동),부산광역시 수영구 광안동 196-3,129.1173761,35.15250082
수영구,광안리가,호스텔업,영업,201709,,"부산광역시 수영구 광안해변로 247-1, 5~8층 (민락동, 행복빌딩)",부산광역시 수영구 민락동 178-15 행복빌딩,129.1209824,35.15509189
수영구,뉴시즈 광안 호텔,관광호텔업,영업,201708,,부산광역시 수영구 민락본동로 12-4 (민락동),부산광역시 수영구 민락동 121-8,129.1287056,35.15764385
수영구,H-AVENUE 광안리점,관광호텔업,영업,201708,,"부산광역시 수영구 민락수변로 29, 민락동 바다마루 11~12층 (민락동)",부산광역시 수영구 민락동 181-223 민락동 바다마루,129.1247215,35.15328369
수영구,No25호스텔,호스텔업,영업,201707,,"부산광역시 수영구 광안해변로284번길 16, 1~2층 (민락동)",부산광역시 수영구 민락동 181-177,129.1248464,35.15520248
수영구,안리하우스 광안,호스텔업,영업,201707,,"부산광역시 수영구 민락수변로 13, 2층 (민락동)",부산광역시 수영구 민락동 181-141,129.1241348,35.15472163
해운대구,신라스테이 해운대호텔,관광호텔업,영업,201704,,부산광역시 해운대구 해운대로570번길 46 (우동),부산광역시 해운대구 우동 629-6,129.1587364,35.1598034
수영구,브라운도트 호텔,소형호텔업,영업,201703,,부산광역시 수영구 남천바다로33번길 31 (광안동),부산광역시 수영구 광안동 202-4,129.1147895,35.14981569
해운대구,엣지 993(edge 993),호스텔업,영업,201703,,"부산광역시 해운대구 달맞이길62번길 78, 1~4층 (중동)",부산광역시 해운대구 중동 993-3,129.1751299,35.1563966
수영구,온더베이 스테이,호스텔업,영업,201703,,"부산광역시 수영구 광안로62번길 1, 3~4층 (광안동)",부산광역시 수영구 광안동 192-1,129.1187136,35.1545545
해운대구,이너피스,호스텔업,영업,201701,,부산광역시 해운대구 송정광어골로82번길 16 (송정동),부산광역시 해운대구 송정동,129.195758,35.17423788
해운대구,올라 카라반 펜션,호스텔업,영업,201611,,부산광역시 해운대구 송정중앙로6번길 180 (송정동),부산광역시 해운대구 송정동 437-7,129.1967732,35.17663469
해운대구,스테이 안,호스텔업,영업,201609,,"부산광역시 해운대구 해운대로 107, 스테이안 3~5층 (재송동)",부산광역시 해운대구 재송동 1071-27 스테이안,129.1212664,35.18764702
해운대구,송정아토 호스텔,호스텔업,영업,201607,,"부산광역시 해운대구 송정강변로 23, 2~4층 (송정동)",부산광역시 해운대구 송정동 195-3,129.2053677,35.1835731
해운대구,스테이 모어 호스텔,호스텔업,폐업,201607,202409,"부산광역시 해운대구 송정광어골로 88, 1~2층 (송정동)",부산광역시 해운대구 송정동 445-5,129.1962949,35.17373407
해운대구,소노문 해운대,관광호텔업,영업,201606,,부산광역시 해운대구 해운대해변로237번길 12 (우동),부산광역시 해운대구 우동,129.1579596,35.15992191
해운대구,토요코인 부산 해운대-Ⅱ,관광호텔업,영업,201601,,"부산광역시 해운대구 해운대해변로237번길 5 (우동, 토요코인부산해운대2호점)",부산광역시 해운대구 우동,129.1573807,35.159539
해운대구,캔버스보산주식회사,호스텔업,영업,201601,,"부산광역시 해운대구 해운대해변로197번길 13 (우동, 아이비모텔)",부산광역시 해운대구 우동,129.152663,35.1591496
해운대구,모네의 여름,호스텔업,영업,201601,,"부산광역시 해운대구 송정광어골로 65 (송정동, 모닝캄)",부산광역시 해운대구 송정동,129.1964599,35.17560676
수영구,광안숲,호스텔업,영업,201509,,"부산광역시 수영구 광남로 106, 3층 (광안동)",부산광역시 수영구 광안동 199-12,129.1155436,35.15122382
