행정구명,사업장명,업태구분명,경도,위도
강서구,꿈에그린펜션,숙박,128.8242485,35.03205746
강서구,넘버원펜션,숙박,128.8158494,35.02781255
강서구,누누하우스,숙박,128.8168984,35.03263641
강서구,대항펜션,숙박,128.8274236,35.0137419
강서구,따돗펜션,숙박,128.8303328,35.05774968
강서구,로뎀펜션,숙박,128.824121,35.03174395
강서구,부들펜션,숙박,128.8247867,35.03162579
강서구,삼거리,숙박,128.811274,35.03297286
강서구,새솜,숙박,128.8316598,35.01164126
강서구,섬마을펜션,숙박,128.8276189,35.01415352
강서구,쉼표,숙박,128.8279005,35.01450075
강서구,슬로우가든,숙박,128.8112654,35.03308114
강서구,영미니네,숙박,128.8323929,35.05724093
강서구,오림건설,숙박,128.8344563,35.01472625
강서구,윤펜션,숙박,128.8117197,35.03330867
강서구,천성펜션,숙박,128.8136126,35.0307119
강서구,초록펜션,숙박,128.8168301,35.02658121
강서구,카리브의일몰,숙박,128.8111525,35.03342529
강서구,코이스테이,숙박,128.8381724,35.05348551
강서구,해피스테이펜션,숙박,128.8175464,35.03270781
강서구,히ㄹ리ㅇ,숙박,128.8330257,35.05269824
강서구,골든블루마리나,시설관리·임대,128.8269908,35.01054006
강서구,라거하우스,시설관리·임대,128.8348183,35.06472941
강서구,쓱쓱싹싹,시설관리·임대,128.8343781,35.01515101
강서구,아이델엔터,시설관리·임대,128.8342751,35.05514869
강서구,오션에이치알,시설관리·임대,128.8181464,35.03259067
강서구,우성탱크터미널,시설관리·임대,128.8286753,35.08710925
강서구,원솔루션가덕도지점,시설관리·임대,128.8314901,35.05264033
강서구,제이에스엠,시설관리·임대,128.8338085,35.08181369
강서구,한국인프라관리,시설관리·임대,128.8095862,35.02301248
강서구,현대인쇄문화,시설관리·임대,128.8333944,35.05497275
강서구,화창,시설관리·임대,128.8333602,35.07794525
강서구,연대봉노래연습장,예술·스포츠,128.834593,35.05417056
강서구,한바다2호,예술·스포츠,128.8334302,35.05559405
강서구,1329삼겹살돼지갈비,음식,128.8124763,35.03234207
강서구,1966노을,음식,128.8158026,35.02817374
강서구,1966정원,음식,128.8158026,35.02817374
강서구,1호선치킨,음식,128.8331904,35.05516509
강서구,가덕도1번지쌈밥,음식,128.8157669,35.02656108
강서구,가덕도쉼터,음식,128.8271031,35.01410721
강서구,가덕뒷고기,음식,128.8329202,35.05533139
강서구,가덕들깨옹심이,음식,128.8309468,35.01258028
강서구,가덕명가,음식,128.8349622,35.05450744
강서구,가덕횟집,음식,128.8273785,35.01171482
강서구,개올나잇,음식,128.8123176,35.03061409
강서구,개올나잇,음식,128.8123176,35.03061409
강서구,그곳에그집,음식,128.8339875,35.06238079
강서구,그랜드하브,음식,128.818724,35.02256041
강서구,글리제,음식,128.8100187,35.04312135
강서구,김해집,음식,128.8330825,35.05523882
강서구,남도보리밥,음식,128.8339664,35.05457658
강서구,다담,음식,128.8325056,35.06669298
강서구,대길횟집,음식,128.8461901,35.0566892
강서구,대항식당,음식,128.8271976,35.01096953
강서구,도향,음식,128.8137616,35.03794649
강서구,돈가,음식,128.8324838,35.05738375
강서구,동원홈푸드부산신항다목적터미널,음식,128.8332503,35.07156631
강서구,동원홈푸드비아이디씨,음식,128.8281718,35.08371026
강서구,등대찻집,음식,128.8268903,35.01045145
강서구,라메르,음식,128.8304971,35.01353335
강서구,라이트하우스,음식,128.846221,35.05708527
강서구,로망스아구찜가덕,음식,128.8179501,35.03262966
강서구,명디앤씨더마레104,음식,128.8334749,35.01198335
강서구,몽도르,음식,128.8105437,35.04258179
강서구,밀양산내돼지국밥,음식,128.8337194,35.05529227
강서구,바다사랑,음식,128.8339203,35.01476139
강서구,바다원횟집,음식,128.8123176,35.03061409
강서구,반야호횟집,음식,128.8276233,35.01287371
강서구,배말칼국수가덕도점,음식,128.8155764,35.02884403
강서구,백반/한정식,음식,128.829164,35.01221063
강서구,베니스,음식,128.8327901,35.05539644
강서구,부잣집,음식,128.8296007,35.01214096
강서구,브런치앤디너테라비가덕점,음식,128.8093982,35.03337036
강서구,브리타니,음식,128.8128432,35.03754566
강서구,비엔아이물류,음식,128.830585,35.08621527
강서구,산호식당,음식,128.8393484,35.07415056
강서구,상우초가집,음식,128.8257024,35.03043142
강서구,서리의골목식당,음식,128.8333239,35.05525319
강서구,선창애,음식,128.834797,35.06427011
강서구,세끼밥상,음식,128.8336579,35.0549958
강서구,소희네집,음식,128.8282484,35.01241368
강서구,숭어들이,음식,128.8273069,35.01391489
강서구,쉼터,음식,128.8326424,35.05908465
강서구,스텔루나,음식,128.8288691,35.01027744
강서구,아말피소울,음식,128.8105437,35.04258179
강서구,아일랜드아카디아,음식,128.8268903,35.01045145
강서구,어부식당,음식,128.8342297,35.01488288
강서구,어부횟집,음식,128.8121869,35.03461748
강서구,어장횟집,음식,128.8272607,35.01134709
강서구,엄마밥상,음식,128.830585,35.08621527
강서구,연경재가덕점,음식,128.812947,35.0382741
강서구,연대봉식당,음식,128.8335367,35.05545725
강서구,연대봉포차식당,음식,128.8152706,35.02542395
강서구,예이제게장백반가덕도점,음식,128.8153894,35.02930645
강서구,옛날한우곰탕,음식,128.8335175,35.05508805
강서구,왕바지,음식,128.834713,35.015921
강서구,왕바지;새바지낚시점,음식,128.834713,35.015921
강서구,왕이드신닭개장,음식,128.8132113,35.03188949
강서구,율선횟집,음식,128.8348643,35.0653145
강서구,이노브,음식,128.8017083,35.06438776
강서구,일오공삼,음식,128.8142001,35.0389493
강서구,일월난정,음식,128.8321618,35.05965067
강서구,자연산횟집,음식,128.8277166,35.01214232
강서구,장춘반점,음식,128.8313168,35.05273307
강서구,장항가든,음식,128.8163181,35.02522803
강서구,정아국밥,음식,128.8346821,35.05472797
강서구,정원,음식,128.828078,35.01213687
강서구,지인식당,음식,128.8329202,35.05533139
강서구,짜장나라,음식,128.8332673,35.0556596
강서구,천성삼거리장어구이,음식,128.8117617,35.03322693
강서구,천성식당,음식,128.812181,35.03186884
강서구,천성유통,음식,128.8095862,35.02301248
강서구,천성중앙초장집,음식,128.8156879,35.02843681
강서구,청솔가덕수산,음식,128.82167,35.0309066
강서구,촌국수,음식,128.8217865,35.0292466
강서구,카페동선동,음식,128.8329418,35.05580871
강서구,카페아리,음식,128.8158976,35.0280101
강서구,커피명가가덕도점,음식,128.8123176,35.03061409
강서구,커피트리,음식,128.830585,35.08621527
강서구,큰나루,음식,128.8331724,35.05533659
강서구,파도소리,음식,128.834816,35.01611771
강서구,파스쿠찌부산가덕도,음식,128.8110751,35.04183485
강서구,푸디스트PNIT부산신항국제터미널본관,음식,128.8338085,35.08181369
강서구,풀무원푸드앤컬처부산신항만본관,음식,128.8333602,35.07794525
강서구,풀무원푸드앤컬처비엔씨티,음식,128.8190282,35.06445362
강서구,해송회식당,음식,128.8158494,35.02781255
강서구,가야법무사사무소,과학·기술,128.8973426,35.19581039
강서구,대덕,과학·기술,128.9026315,35.20181039
강서구,민인테리어,과학·기술,128.8834552,35.18536618
강서구,바이블린,과학·기술,128.904535,35.20292496
강서구,벤투스,과학·기술,128.9004405,35.20154742
강서구,부광법무사합동사무소,과학·기술,128.9005594,35.19581401
강서구,인비전,과학·기술,128.8899636,35.19811571
강서구,자비트파트너스,과학·기술,128.8810146,35.20330176
강서구,제이와이일렉트릭,과학·기술,128.9108302,35.21153118
강서구,조정종법무사,과학·기술,128.9005594,35.19581401
강서구,창조커뮤니케이션즈,과학·기술,128.9122011,35.21426714
강서구,한솔애드,과학·기술,128.8943767,35.19715455
강서구,통일하나협동조합,교육,128.8973475,35.19318786
강서구,가락공인중개사사무소,부동산,128.9030875,35.19359342
강서구,가락부동산중개사무소,부동산,128.8978258,35.17646332
강서구,가람공인중개사무소,부동산,128.9014061,35.1958728
강서구,가람공인중개사사무소,부동산,128.9014061,35.1958728
강서구,강변공인중개사사무소,부동산,128.9108096,35.21064834
강서구,공장부동산중개사무소,부동산,128.9030875,35.19359342
강서구,광명공인중개사사무소,부동산,128.9020488,35.19518682
강서구,금동공인중개사사무소,부동산,128.9020218,35.19543958
강서구,금빛공인중개사사무소,부동산,128.9030875,35.19359342
