행정구명,사업장명,도로명주소,지번주소,경도,위도
사하구,주식회사어반힐링,부산광역시 사하구 낙동대로 534 (하단동),,128.9651984,35.1118316
수영구,주식회사피알아이피,부산광역시 수영구 수영로 409 (남천동),,129.1083545,35.14291409
해운대구,죽도공원,부산광역시 해운대구 송정해변로 1-23,,129.2061339,35.1799562
기장군,죽도횟집,부산광역시 기장군 기장읍 연화1길 215,,129.2268671,35.21959937
영도구,중리노을전망대,부산광역시 영도구 동삼동,,129.064327,35.06923819
중구,지엔비호텔(GNB호텔),부산광역시 중구 흑교로 19 (부평동3가),,129.0248379,35.10125888
기장군,지오클럽,부산광역시 기장군 일광면 기장해안로 1272,,129.2353514,35.25784524
기장군,진품물회,부산광역시 기장군 기장읍 연화1길 65,,129.2236759,35.2150026
기장군,채플린,부산광역시 기장군 기장읍 기장해안로 880,,129.2446679,35.23379533
해운대구,책방봄봄,부산광역시 해운대구 좌동로 9 (중동),,129.1684792,35.16736524
수영구,책방오월,부산광역시 수영구 수영로607번길 28 (광안동),,129.1121398,35.16044831
서구,천마산하늘전망대,부산광역시 서구 해돋이로183번길 17-4,,129.0173416,35.09364848
기장군,철마대가한우직판장,부산광역시 기장군 철마면 난들길 8,,129.1626602,35.27098964
기장군,철마원조추어탕,부산광역시 기장군 철마면 개좌로 763,,129.1496614,35.26838413
기장군,철마한우수목원,부산광역시 기장군 철마면 곰내길 308,,129.1693117,35.29435381
강서구,청량사(부산),부산광역시 강서구 제도로 29,,128.9190856,35.11775787
해운대구,청사포 기찻길,부산광역시 해운대구 달맞이길62번길 13 (중동),,129.1728513,35.15819691
부산진구,청킹멘션부산,부산광역시 부산진구 서전로58번길 15-3 (전포동),,129.0663189,35.15724504
영도구,청학수변공원,부산광역시 영도구 청학동 217-43,,129.0611626,35.09772939
영도구,청학시장,부산광역시 영도구 태종로316번길 1 (청학동),,129.0603711,35.09664338
동구,초량1941,부산광역시 동구 망양로 533-5 (초량동),,129.0298925,35.119818
동구,초량845,부산광역시 동구 망양로533번길 8 (초량동),,129.0297259,35.11952081
동구,초량교회,부산광역시 동구 초량상로 53,,129.0369614,35.11714343
동구,초량밀면,부산광역시 동구 중앙대로 225 (초량동),,129.0406944,35.11734626
동구,초량시장,부산광역시 동구 초량로13번길 8,,129.0400611,35.11868499
동구,초량온당,부산광역시 동구 초량중로 135 (수정동),,129.0415748,35.12345948
기장군,초오록,부산광역시 기장군 화용길 103-17,,129.2215575,35.28273942
사상구,초원농원,부산광역시 사상구 낙동대로 1498 주식회사 국제식품,,128.9829474,35.19227569
기장군,초원숲속캠핑장,부산광역시 기장군 정관읍 병산1길 18,,129.188092,35.34498459
부산진구,초함,부산광역시 부산진구 성지로 101 (초읍동),,129.0523751,35.17923676
서구,충무동 새벽시장,부산광역시 서구 해안새벽시장길 68 (남부민동),,129.0250187,35.09328477
동구,친환경 스카이웨이 전망대(이바구길),부산광역시 동구 초량동,,129.0306535,35.12130952
남구,칠성식당 본점,부산광역시 남구 지게골로 7,,129.0683388,35.13582525
기장군,칠암만장,부산광역시 기장군 일광읍 일광로 648,,129.2582316,35.29996317
기장군,칠암사계,부산광역시 기장군 칠암1길 7-10,,129.2589677,35.29992152
기장군,칠암일번지횟집,부산광역시 기장군 일광면 문오성길 547,,129.2592954,35.30025205
수영구,카운트다운 부산,부산광역시 수영구 광안해변로 219 (광안동),,129.1185478,35.15381306
금정구,카파도키아,부산광역시 금정구 금단로 123-9,,129.0922249,35.26011733
영도구,카페 385,부산광역시 영도구 태종로 539,,129.0763172,35.08432561
기장군,카페 도토리 로스터스,부산광역시 기장군 장안읍 상장안1길 29-4,,129.2434504,35.36994116
사하구,카페 만디,부산광역시 사하구 오작로 104-7 (괴정동),,129.0047758,35.10038361
기장군,카페공지,부산광역시 기장군 기장읍 기장해안로 509,,129.2251589,35.21965766
동래구,카페썬번,부산광역시 동래구 명안로17번길 80,,129.100287,35.19904654
중구,카페제노아,부산광역시 중구 중구로29번길 17 (부평동1가),,129.0270044,35.10040346
해운대구,캔버스,부산광역시 해운대구 해운대해변로197번길 13,,129.1526891,35.1592353
해운대구,캔버스 블랙,부산광역시 해운대구 해운대해변로197번길 14,,129.1530057,35.15941029
동구,커넥트현대,부산광역시 동구 범일로 125 (범일동),,129.0586006,35.14134112
기장군,코랄라니,부산광역시 기장군 기장읍 기장해안로 32,,129.2089308,35.18259207
중구,코모도 호텔 부산,부산광역시 중구 중구로 151 (영주동),,129.0353035,35.10881656
동래구,코모도테이블,부산광역시 동래구 온천천로453번길 23-2 (안락동),,129.1030314,35.19253343
해운대구,코오롱 씨클라우드 호텔,부산광역시 해운대구 해운대해변로 287 (중동),,129.1622688,35.16046868
중구,크라운 하버 호텔 부산,부산광역시 중구 중앙대로 114 (중앙동4가),,129.036845,35.10760561
해운대구,크리스마스 빌리지 부산 2025,부산광역시 해운대구 수영강변대로 120 (우동),,129.1270688,35.17100296
해운대구,클라우드32,부산광역시 해운대구 마린시티3로 52,,129.1449566,35.15439126
사상구,클래식캠퍼,부산광역시 사상구 대동로 224 (학장동),,128.9851957,35.14739465
동구,클레이디뷔페 돌잔치,부산광역시 동구 조방로 14 (범일동),,129.0634808,35.1387665
해운대구,키친동백,부산광역시 해운대구 달맞이길117번가길 85 (중동),,129.1787924,35.15782761
해운대구,타이가텐푸라,부산광역시 해운대구 우동1로38번가길 15 (우동),,129.1584218,35.16480423
