행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
해운대구,트레블로지 스위트 부산 센텀 호텔,숙박업(생활),영업,202407,,부산광역시 해운대구 APEC로 21 (우동),부산광역시 해운대구 우동 1513,129.1329369,35.16607795
해운대구,뉴시즈 해운대 레지던스,숙박업(생활),영업,202407,,"부산광역시 해운대구 해운대로570번길 30, 빌리브 패러그라프 (우동)",부산광역시 해운대구 우동 645-6,129.1570696,35.15997783
기장군,비우담,숙박업(생활),영업,202407,,"부산광역시 기장군 장안읍 해맞이로 336, 비우담 전체동",부산광역시 기장군 장안읍 월내리 512-15,129.2744763,35.32462297
중구,디어문 하우스,숙박업(생활),영업,202407,,"부산광역시 중구 비프광장로 14-2, 2층 (남포동6가)",부산광역시 중구 남포동6가 95-1,129.0268946,35.0983661
중구,라비앙즈 더베이먼트 남포점,숙박업(생활),영업,202407,,부산광역시 중구 중구로5번길 14 (남포동6가),부산광역시 중구 남포동6가 99,129.0265334,35.09826326
수영구,지금광안리,숙박업(생활),영업,202407,,"부산광역시 수영구 민락수변로 105, 바다산책프라자 8층 (민락동)",부산광역시 수영구 민락동 110-48 바다산책프라자,129.1320741,35.15473437
동래구,부산스테이,숙박업(생활),영업,202406,,"부산광역시 동래구 명륜로 120-3, 2,3층 (명륜동)",부산광역시 동래구 명륜동 465-1,129.08276,35.20464105
해운대구,아리랑 아일랜드,일반호텔,영업,202406,,부산광역시 해운대구 구남로29번길 20-8 (중동),부산광역시 해운대구 중동 1382-23 파라디아 모텔,129.1620438,35.16209031
해운대구,르컬렉티브 해운대 패러그라프,숙박업(생활),영업,202406,,"부산광역시 해운대구 해운대로570번길 30, 빌리브패러그라프 (우동)",부산광역시 해운대구 우동 645-6,129.1570696,35.15997783
수영구,부산 게스트하우스 노마드인 부산,숙박업(생활),영업,202406,,"부산광역시 수영구 민락본동로11번길 21, 2층 (민락동)",부산광역시 수영구 민락동 140-5 2층,129.1273803,35.15759862
중구,코티스 더 브릿지,숙박업(생활),영업,202406,,부산광역시 중구 중구로5번길 14 (남포동6가),부산광역시 중구 남포동6가 99,129.0265334,35.09826326
부산진구,전포207stay,숙박업(생활),영업,202406,,"부산광역시 부산진구 서전로58번길 8, 4층 (전포동)",부산광역시 부산진구 전포동 207-10,129.0660057,35.15743046
해운대구,더펜트하우스4041,숙박업(생활),영업,202406,,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 40~41층 (우동)",부산광역시 해운대구 우동 539-10 해운대 라뮤에뜨,129.1584916,35.1629774
기장군,하이바이풀빌라,숙박업(생활),영업,202406,,"부산광역시 기장군 장안읍 반룡로 276, 1~7동",부산광역시 기장군 장안읍 반룡리 43,129.2710953,35.33584294
수영구,스테이까사,숙박업(생활),영업,202406,,"부산광역시 수영구 민락수변로 5, 성진회센터 8층 (민락동)",부산광역시 수영구 민락동 181-204 성진회센터,129.1238997,35.15531677
수영구,광안희,숙박업(생활),영업,202405,,"부산광역시 수영구 민락수변로7번길 26, 3-4층 (민락동)",부산광역시 수영구 민락동 181-87 3층-4층,129.1251454,35.15537853
해운대구,영무파라드호텔1,숙박업(생활),영업,202405,,"부산광역시 해운대구 해운대해변로298번길 25, 영무 파라드 호텔 101호 (중동)",부산광역시 해운대구 중동 1124-8 영무 파라드 호텔,129.1665414,35.16094159
