행정구명,사업장명,업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
부산진구,아이리스 모텔,여관업,영업/정상,영업,199809,,부산광역시 부산진구 성지로153번길 13 (초읍동),,129.04818104,35.18128166
부산진구,아이비(IB)호텔,일반호텔,영업/정상,영업,201308,,부산광역시 부산진구 서면로 15-14 (부전동),,129.05727258,35.15223641
부산진구,아주여관,여관업,영업/정상,영업,198612,,부산광역시 부산진구 범전로19번길 28 (부전동),,129.06112281,35.16416377
부산진구,아지트,숙박업(생활),영업/정상,영업,202607,,"부산광역시 부산진구 중앙대로 630-1, 3층 (범천동)",,129.05955802,35.14894284
부산진구,아침햇살,여관업,영업/정상,영업,199003,,부산광역시 부산진구 동천로107번길 12-9 (부전동),,129.06134024,35.1585046
부산진구,아트 워크,여관업,영업/정상,영업,198008,,부산광역시 부산진구 가야대로784번길 56-7 (부전동),,129.05681964,35.15476358
부산진구,어반그루브 호텔(서면점),여관업,영업/정상,영업,201407,,"부산광역시 부산진구 황령대로17번길 18 (범천동, 오즈모텔)",,129.06140069,35.14883865
부산진구,어반스테이 서면,숙박업(생활),영업/정상,영업,202010,,"부산광역시 부산진구 중앙대로 752, 서면역 트루엘 센트럴 (부전동)",,129.06090973,35.15931608
부산진구,에바다,여관업,영업/정상,영업,198403,,부산광역시 부산진구 부전로20번길 9 (부전동),,129.05680644,35.15242148
부산진구,에이치애비뉴 호텔 서면역점(H-AVENUE HOTEL SEOMYEON STATION),일반호텔,영업/정상,영업,200403,,부산광역시 부산진구 부전로 28 (부전동),,129.05649872,35.15298095
부산진구,엑스모텔,일반호텔,영업/정상,영업,201907,,"부산광역시 부산진구 신천대로50번길 34, 6층~9층 (부전동)",,129.06007232,35.15231926
부산진구,엔젤,일반호텔,영업/정상,영업,198112,,부산광역시 부산진구 중앙대로692번길 46-7 (부전동),,129.06187234,35.15401434
부산진구,엘라,숙박업(생활),영업/정상,영업,201707,,"부산광역시 부산진구 전포대로223번길 10-1, 2층 (전포동)",,129.06460964,35.15671847
부산진구,여온 스테이,숙박업(생활),영업/정상,영업,202512,,"부산광역시 부산진구 중앙대로680번가길 74, 우목빌딩Ⅱ 6층 (부전동)",,129.06109615,35.15667942
부산진구,영진,여관업,영업/정상,영업,198808,,부산광역시 부산진구 동성로118번길 8 (전포동),,129.06617955,35.16049023
부산진구,"오늘하루, 스테이",숙박업(생활),영업/정상,영업,202512,,"부산광역시 부산진구 새싹로8번길 35-6, 4~5층 (부전동)",,129.05961167,35.15996805
부산진구,오케이,여관업,영업/정상,영업,197512,,부산광역시 부산진구 새싹로8번길 35-10 (부전동),,129.05968048,35.16005046
부산진구,온기브릿지,숙박업(생활),영업/정상,영업,202605,,"부산광역시 부산진구 중앙대로680번가길 80-5, 3층 (부전동)",,129.06133097,35.15694384
부산진구,온정,여관업,영업/정상,영업,197205,,부산광역시 부산진구 양지로5번길 30 (양정동),,129.07054554,35.17071151
부산진구,올리브모텔,여관업,영업/정상,영업,198311,,부산광역시 부산진구 서면문화로5번길 44 (부전동),,129.05537947,35.15834108
부산진구,올인모텔,여관업,영업/정상,영업,198910,,부산광역시 부산진구 가야대로765번길 23 (부전동),,129.05510501,35.15885591
부산진구,원진,여인숙업,영업/정상,영업,196508,,부산광역시 부산진구 부전로 169-6 (부전동),,129.05951332,35.16321835
부산진구,월렉스모텔,여관업,영업/정상,영업,199010,,부산광역시 부산진구 서면문화로53번길 7-10 (부전동),,129.05461013,35.16123127
부산진구,윙크모텔 양정시청점,여관업,영업/정상,영업,196811,,부산광역시 부산진구 중앙대로970번길 10 (양정동),,129.07396682,35.1755227
부산진구,유나리아하우스2,숙박업(생활),영업/정상,영업,202501,,"부산광역시 부산진구 서전로38번길 9-7, 5층 (전포동)",,129.06421041,35.15732686
부산진구,유나비지니스,일반호텔,영업/정상,영업,201910,,부산광역시 부산진구 서면로 15-9 (부전동),,129.05731031,35.15199915
부산진구,유나호텔,여관업,영업/정상,영업,200112,,부산광역시 부산진구 성지로150번길 7 (초읍동),,129.04825454,35.18213955
부산진구,유니크스테이(Uniqstay),여관업,영업/정상,영업,200311,,부산광역시 부산진구 부전로 59 (부전동),,129.05474365,35.15533428
부산진구,유림장여관,여관업,영업/정상,영업,202305,,"부산광역시 부산진구 서면문화로 49-3, 1-3층 (부전동)",,129.05505683,35.16126089
부산진구,은하장,여관업,영업/정상,영업,200909,,"부산광역시 부산진구 가야대로 709-1, 당감동 (당감동)",,129.04914932,35.15761564
부산진구,이음재 서면역,숙박업(생활),영업/정상,영업,202512,,"부산광역시 부산진구 가야대로784번길 46-14, 11층 (부전동)",,129.05644263,35.15553184
부산진구,이화장,여관업,영업/정상,영업,197401,,부산광역시 부산진구 성지로143번길 8 (초읍동),,129.04866319,35.1811347
부산진구,이화장,여관업,영업/정상,영업,197712,,부산광역시 부산진구 새싹로29번길 10-7 (부전동),,129.05633225,35.16048825
부산진구,읽다부산,숙박업(생활),영업/정상,영업,202504,,"부산광역시 부산진구 전포대로209번길 43, 5층 (전포동)",,129.06288914,35.15527437
부산진구,잇:데이,숙박업(생활),영업/정상,영업,202510,,"부산광역시 부산진구 서전로58번길 32, 3층 (전포동)",,129.06601818,35.15639919
부산진구,전포207stay,숙박업(생활),영업/정상,영업,202406,,"부산광역시 부산진구 서전로58번길 8, 4층 (전포동)",,129.06600571,35.15743046
부산진구,제이(J)모텔,여관업,영업/정상,영업,198904,,부산광역시 부산진구 새싹로14번길 23-1 (부전동),,129.05863278,35.16008333
부산진구,젬스테이,숙박업(생활),영업/정상,영업,202309,,"부산광역시 부산진구 중앙대로 752, 서면역 트루엘 센트럴 2~20층 일부호 (부전동)",,129.06090973,35.15931608
