영업상태,점포명,업종대분류,업종중분류,업종명,행정구,인허가일,폐업일,경도,위도
영업/정상,이조,외식,한식음식점,한식 일반 음식점업,연제구,202206,,129.0791252,35.19564012
영업/정상,향이팥칼국수,외식,한식음식점,한식 일반 음식점업,북구,202205,,129.0198606,35.26447318
영업/정상,83해치 광안리점,외식,한식음식점,한식 일반 음식점업,수영구,202206,,129.1258055,35.15754902
영업/정상,동원돼지갈비,외식,한식음식점,한식 일반 음식점업,수영구,202206,,129.0981421,35.17337345
영업/정상,후라이드 참 잘하는집,외식,호프·간이주점,기타 주점업,사하구,202206,,128.972829,35.06131083
영업/정상,조니,외식,한식음식점,한식 일반 음식점업,강서구,202206,,128.906048,35.09358412
영업/정상,예그리나,외식,한식음식점,한식 일반 음식점업,강서구,202206,,128.8791668,35.08470554
영업/정상,푸짐하다선,외식,한식음식점,한식 일반 음식점업,강서구,202206,,128.9425012,35.21519201
영업/정상,칠링(Chilling),외식,양식음식점,서양식 음식점업,부산진구,202204,,129.0619246,35.15333084
영업/정상,또봉이통닭 부곡점,외식,호프·간이주점,기타 주점업,금정구,202205,,129.0884084,35.22016637
영업/정상,라임369,외식,양식음식점,서양식 음식점업,금정구,202205,,129.0862469,35.2580093
영업/정상,하륜일만족발(동백집) 부산남구점,외식,한식음식점,한식 일반 음식점업,남구,202205,,129.0917079,35.13269995
영업/정상,패밀리 꼬마김밥 일광신도시점,외식,분식전문점,기타 간이 음식점업,기장군,202205,,129.2240109,35.26518467
영업/정상,똘이네,외식,한식음식점,한식 일반 음식점업,해운대구,202205,,129.1715805,35.16533974
영업/정상,막썰어횟집,외식,한식음식점,한식 일반 음식점업,연제구,202206,,129.0858927,35.18818907
영업/정상,랑꺼리,외식,양식음식점,서양식 음식점업,북구,202206,,129.0290347,35.21196386
영업/정상,떡의작품,외식,분식전문점,기타 간이 음식점업,북구,202206,,129.0061085,35.19482867
영업/정상,초밥쟁이,외식,일식음식점,일식 음식점업,연제구,202206,,129.0651685,35.19358605
영업/정상,큰맘할매순대국 사상점,외식,한식음식점,한식 일반 음식점업,사상구,202206,,128.9822266,35.16944137
영업/정상,아구통,외식,한식음식점,한식 일반 음식점업,금정구,202206,,129.087855,35.21827578
영업/정상,발칙한 카페우디,외식,분식전문점,기타 간이 음식점업,해운대구,202205,,129.1662973,35.17174913
영업/정상,샐러디움,외식,분식전문점,기타 간이 음식점업,금정구,202205,,129.0893663,35.26709027
영업/정상,산본마츠,외식,일식음식점,일식 음식점업,해운대구,202205,,129.2049911,35.18564427
영업/정상,takit(테킷),외식,양식음식점,서양식 음식점업,해운대구,202205,,129.1624502,35.16074403
영업/정상,카페황금나무,외식,분식전문점,기타 간이 음식점업,사상구,202205,,128.9848605,35.17488583
영업/정상,통큰식당,외식,한식음식점,한식 일반 음식점업,북구,202205,,129.0359052,35.2139809
영업/정상,이춘식 명가돌곱창,외식,한식음식점,한식 일반 음식점업,기장군,202204,,129.1798271,35.32091018
영업/정상,교동짬뽕,외식,중식음식점,중식 음식점업,기장군,202204,,129.1688942,35.33609179
영업/정상,골든에그카페,외식,양식음식점,서양식 음식점업,기장군,202204,,129.2147843,35.19461452
영업/정상,정아식당,외식,한식음식점,한식 일반 음식점업,동래구,202205,,129.081174,35.22285771
영업/정상,김해통닭,외식,호프·간이주점,기타 주점업,서구,202205,,129.0172217,35.0768059
영업/정상,카덴96,외식,분식전문점,기타 간이 음식점업,기장군,202205,,129.2343914,35.28952411
영업/정상,유부부,외식,한식음식점,한식 일반 음식점업,서구,202205,,129.0158624,35.10953261
영업/정상,뚝닭숯불두마리치킨,외식,호프·간이주점,기타 주점업,사상구,202205,,128.9877525,35.15984866
영업/정상,유가네한우곰탕 명지점,외식,한식음식점,한식 일반 음식점업,강서구,202205,,128.9063157,35.09820424
영업/정상,로코(roco),외식,분식전문점,기타 간이 음식점업,강서구,202205,,128.90393,35.08224764
영업/정상,에그프린스,외식,분식전문점,기타 간이 음식점업,강서구,202205,,128.9219142,35.10616204
영업/정상,더토브카페,외식,분식전문점,기타 간이 음식점업,강서구,202205,,128.9115427,35.08701072
영업/정상,어거스타,외식,양식음식점,서양식 음식점업,수영구,202205,,129.1177674,35.16337244
영업/정상,우미오모루,외식,일식음식점,일식 음식점업,부산진구,202205,,129.0620171,35.15746364
영업/정상,짱구네,외식,한식음식점,한식 일반 음식점업,해운대구,202205,,129.1490749,35.22516916
영업/정상,스왈로우 커피,외식,분식전문점,기타 간이 음식점업,해운대구,202205,,129.1450724,35.15662748
영업/정상,정원참숯닭갈비,외식,한식음식점,한식 일반 음식점업,연제구,202205,,129.0942064,35.19062928
영업/정상,크로앙쥬,외식,분식전문점,기타 간이 음식점업,사하구,202204,,128.9991325,35.10305425
영업/정상,베리어스푸드,외식,한식음식점,한식 일반 음식점업,서구,202204,,129.016462,35.08142908
영업/정상,아덴블랑제리 연산배산점,외식,분식전문점,기타 간이 음식점업,연제구,202205,,129.0920955,35.17459938
영업/정상,코즈키,외식,한식음식점,한식 일반 음식점업,부산진구,202205,,129.0662995,35.1554845
영업/정상,조방생선구이,외식,한식음식점,한식 일반 음식점업,부산진구,202205,,129.0623988,35.14189698
영업/정상,짱,외식,양식음식점,기타 외국식 음식점업,부산진구,202205,,129.0612746,35.14221679
영업/정상,봉추찜닭 부산정관점,외식,호프·간이주점,기타 주점업,기장군,202206,,129.1773982,35.3227454
영업/정상,사직통목살껍데기,외식,한식음식점,한식 일반 음식점업,동래구,202204,,129.0595997,35.19704339
영업/정상,오색 꼬마김밥,외식,분식전문점,기타 간이 음식점업,연제구,202204,,129.0819607,35.18860071
영업/정상,불야성양다리구이,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9669837,35.10727246
영업/정상,윤쓰식당,외식,한식음식점,한식 일반 음식점업,부산진구,202205,,129.0582545,35.1561384
영업/정상,언메이크,외식,한식음식점,한식 일반 음식점업,부산진구,202205,,129.0682546,35.15256616
영업/정상,청담,외식,한식음식점,한식 일반 음식점업,강서구,202205,,128.925791,35.1028709
영업/정상,오플로우,외식,분식전문점,기타 간이 음식점업,강서구,202205,,128.9010157,35.17248313
영업/정상,돈갈비상회,외식,한식음식점,한식 일반 음식점업,연제구,202205,,129.0859346,35.18362026
영업/정상,주앙,외식,분식전문점,기타 간이 음식점업,부산진구,202205,,129.0659537,35.15281826
영업/정상,불야성양다리구이,외식,분식전문점,기타 간이 음식점업,사하구,202205,,128.9669837,35.10727246
영업/정상,당신은지금치킨이땡긴다 덕천점,외식,호프·간이주점,기타 주점업,북구,202205,,129.009777,35.20559445
영업/정상,춘(chun),외식,양식음식점,서양식 음식점업,영도구,202205,,129.0398901,35.09162652
영업/정상,피케이홀덤펍,외식,분식전문점,기타 간이 음식점업,영도구,202205,,129.0406887,35.09200394
영업/정상,말랑콩떡,외식,분식전문점,기타 간이 음식점업,동래구,202205,,129.1072158,35.21043569
영업/정상,한우금정생(生)육회,외식,한식음식점,한식 일반 음식점업,금정구,202205,,129.0888131,35.26795036
영업/정상,돼지게티 부산대점,외식,양식음식점,서양식 음식점업,금정구,202204,,129.0855828,35.23748321
영업/정상,안녕,외식,양식음식점,서양식 음식점업,수영구,202204,,129.1307689,35.15538577
영업/정상,동해물과 해산물이,외식,일식음식점,일식 음식점업,사상구,202205,,128.9851419,35.1558429
영업/정상,냉정한 고깃집,외식,한식음식점,한식 일반 음식점업,사상구,202205,,129.0124303,35.15014263
영업/정상,카페120,외식,분식전문점,기타 간이 음식점업,중구,202205,,129.0296909,35.10202511
영업/정상,이사팔그릴3,외식,양식음식점,서양식 음식점업,강서구,202206,,128.9116637,35.09284152
영업/정상,뉴욕스시,외식,일식음식점,일식 음식점업,영도구,202206,,129.0833058,35.06913495
영업/정상,카우머치(Cowmuch),외식,분식전문점,기타 간이 음식점업,부산진구,202206,,129.0193347,35.15192236
영업/정상,킹스그룸시샤,외식,분식전문점,기타 간이 음식점업,부산진구,202206,,129.0609208,35.15360166
영업/정상,상류,외식,한식음식점,한식 일반 음식점업,부산진구,202206,,129.0671294,35.15532576
영업/정상,숏타임 푸드바,외식,일식음식점,일식 음식점업,수영구,202206,,129.127517,35.15867796
영업/정상,한근 숯불 닭갈비 하단역점,외식,분식전문점,기타 간이 음식점업,사하구,202206,,128.967347,35.10682173
영업/정상,빨간등대,외식,일식음식점,일식 음식점업,영도구,202206,,129.0357825,35.08490521
영업/정상,제주옥탑 하단점,외식,분식전문점,기타 간이 음식점업,사하구,202206,,128.9657659,35.10863229
영업/정상,탕수육잘하는분식집,외식,중식음식점,중식 음식점업,금정구,202206,,129.0871981,35.25648392
영업/정상,족발먹어보쌈,외식,분식전문점,기타 간이 음식점업,남구,202206,,129.1046074,35.13789165
영업/정상,수훈중국관,외식,중식음식점,중식 음식점업,남구,202206,,129.1121232,35.12221889
영업/정상,삼어국수,외식,한식음식점,한식 일반 음식점업,해운대구,202205,,129.1167938,35.21427006
영업/정상,윤꾸러미,외식,분식전문점,기타 간이 음식점업,기장군,202106,,129.177872,35.32256146
영업/정상,무봤나촌닭 기장점,외식,호프·간이주점,기타 주점업,기장군,202205,,129.215528,35.24700572
영업/정상,리치커피숍,외식,분식전문점,기타 간이 음식점업,기장군,202205,,129.1774489,35.31969175
영업/정상,봉선언니,외식,분식전문점,기타 간이 음식점업,기장군,202205,,129.170009,35.33613032
영업/정상,순살만공격화명점,외식,호프·간이주점,기타 주점업,북구,202206,,129.0172354,35.23929091
영업/정상,육칠이덕천점,외식,분식전문점,기타 간이 음식점업,북구,202206,,129.0210554,35.21179399
영업/정상,열혈떡볶이,외식,분식전문점,기타 간이 음식점업,사하구,202206,,128.9775155,35.09054657
영업/정상,비에이치씨(BHC)치킨,외식,분식전문점,기타 간이 음식점업,사하구,202206,,129.0106757,35.08214314
영업/정상,통영꼼장어,외식,한식음식점,한식 일반 음식점업,부산진구,202205,,129.0563613,35.15834791
