"시도별","성별",2021.01,2021.01,2021.01,2021.01,2021.02,2021.02,2021.02,2021.02,2021.03,2021.03,2021.03,2021.03,2021.04,2021.04,2021.04,2021.04,2021.05,2021.05,2021.05,2021.05,2021.06,2021.06,2021.06,2021.06,2021.07,2021.07,2021.07,2021.07,2021.08,2021.08,2021.08,2021.08,2021.09,2021.09,2021.09,2021.09,2021.10,2021.10,2021.10,2021.10,2021.11,2021.11,2021.11,2021.11,2021.12,2021.12,2021.12,2021.12,2022.01,2022.01,2022.01,2022.01,2022.02,2022.02,2022.02,2022.02,2022.03,2022.03,2022.03,2022.03,2022.04,2022.04,2022.04,2022.04,2022.05,2022.05,2022.05,2022.05,2022.06,2022.06,2022.06,2022.06,2022.07,2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09,2022.09,2022.10,2022.10,2022.10,2022.10,2022.11,2022.11,2022.11,2022.11,2022.12,2022.12,2022.12,2022.12,2023.01,2023.01,2023.01,2023.01,2023.02,2023.02,2023.02,2023.02,2023.03,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05,2023.05,2023.06,2023.06,2023.06,2023.06,2023.07,2023.07,2023.07,2023.07,2023.08,2023.08,2023.08,2023.08,2023.09,2023.09,2023.09,2023.09,2023.10,2023.10,2023.10,2023.10,2023.11,2023.11,2023.11,2023.11,2023.12,2023.12,2023.12,2023.12,2024.01,2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03,2024.03,2024.04,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.11,2024.12,2024.12,2024.12,2024.12,2025.01,2025.01,2025.01,2025.01,2025.02,2025.02,2025.02,2025.02,2025.03,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04,2025.04,2025.05,2025.05,2025.05,2025.05,2025.06,2025.06,2025.06,2025.06,2025.07,2025.07,2025.07,2025.07,2025.08,2025.08,2025.08,2025.08,2025.09,2025.09,2025.09,2025.09,2025.10,2025.10,2025.10,2025.10,2025.11,2025.11,2025.11,2025.11,2025.12,2025.12,2025.12,2025.12,2026.01,2026.01,2026.01,2026.01,2026.02,2026.02,2026.02,2026.02,2026.03,2026.03,2026.03,2026.03,2026.04,2026.04,2026.04,2026.04,2026.05,2026.05,2026.05,2026.05,2026.06,2026.06,2026.06,2026.06
"시도별","성별",경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%),경제활동참가율 (%),실업률 (%),고용률 (%),15~64세 고용률 (%)
"부산광역시","계",57.4,5.8,54.1,62.2,57.2,4.2,54.8,62.4,57.8,3.7,55.7,63.0,58.4,3.7,56.2,63.8,58.7,3.4,56.7,64.3,58.9,3.3,56.9,64.6,59.0,3.1,57.1,64.8,58.7,2.3,57.3,65.0,58.1,2.5,56.6,64.2,58.0,2.6,56.5,63.9,58.0,2.4,56.6,64.2,57.8,3.5,55.8,63.9,57.6,4.4,55.1,64.0,58.1,3.1,56.3,64.5,57.7,2.6,56.2,64.0,58.0,2.5,56.5,64.3,59.2,2.9,57.5,65.7,59.4,3.4,57.4,65.5,59.5,3.3,57.5,65.8,59.4,2.3,58.0,66.2,59.4,2.6,57.8,66.1,59.3,2.8,57.7,65.9,59.4,2.6,57.8,66.1,59.4,3.0,57.6,66.5,59.2,3.5,57.1,66.5,58.6,3.3,56.7,65.1,59.7,3.0,57.9,66.3,59.9,3.4,57.8,66.2,60.1,3.5,58.0,66.4,59.9,3.4,57.8,66.5,59.9,2.9,58.2,67.0,59.4,2.3,58.0,66.9,60.0,2.6,58.5,67.4,59.8,2.9,58.1,66.9,59.3,3.0,57.5,66.4,59.2,3.7,57.0,66.5,59.3,4.7,56.5,66.4,59.5,3.2,57.6,66.6,59.4,2.9,57.7,66.7,59.5,2.9,57.8,66.5,59.8,3.5,57.7,66.3,60.0,2.8,58.3,66.8,60.1,2.9,58.4,67.2,59.5,2.2,58.2,67.1,59.6,2.2,58.3,67.2,59.4,1.9,58.3,67.3,59.4,2.1,58.2,67.3,59.3,4.3,56.7,67.0,59.1,4.9,56.2,66.3,59.5,3.1,57.7,66.8,60.0,2.8,58.4,67.6,60.0,2.2,58.7,68.2,60.7,2.8,59.0,68.3,60.6,2.6,59.0,68.5,60.1,2.2,58.8,68.4,59.6,2.1,58.3,68.0,60.2,2.0,59.0,68.7,59.9,1.8,58.8,68.5,60.4,2.0,59.2,68.8,60.3,4.5,57.6,68.8,59.9,4.8,57.1,68.6,60.1,2.8,58.4,68.7,59.9,2.5,58.4,68.6,59.8,2.7,58.2,68.2,60.1,2.6,58.6,68.4,60.3,2.2,59.0,68.9
"부산광역시","남자",66.6,5.3,63.1,70.1,66.5,4.0,63.9,70.4,66.8,3.2,64.7,71.3,67.4,3.5,65.1,72.0,68.4,4.1,65.6,72.2,68.4,3.8,65.8,72.6,68.4,3.4,66.1,72.7,68.2,2.4,66.5,73.2,68.0,3.1,65.9,72.6,67.6,2.9,65.6,71.8,66.9,2.3,65.4,71.7,66.8,3.3,64.6,71.5,66.8,4.4,63.9,71.3,66.9,3.1,64.8,71.7,67.0,2.3,65.5,72.2,67.6,2.3,66.0,72.7,68.5,3.2,66.4,73.6,69.0,3.6,66.5,73.7,68.9,3.7,66.3,73.7,69.5,2.5,67.7,75.4,69.4,2.7,67.5,75.5,69.2,2.7,67.3,75.5,69.0,2.6,67.2,75.1,68.6,2.6,66.8,75.3,68.7,3.2,66.5,75.5,68.4,3.6,65.9,74.0,69.5,3.1,67.3,75.5,69.7,3.5,67.3,75.2,70.0,3.1,67.8,75.6,69.0,2.8,67.1,75.6,69.6,2.3,68.0,76.9,69.3,1.6,68.3,77.2,70.0,2.0,68.6,77.5,69.7,2.7,67.8,76.7,68.8,2.3,67.2,75.8,68.9,2.6,67.1,76.3,68.6,3.7,66.1,75.4,68.6,2.8,66.7,75.3,68.7,3.0,66.6,75.0,68.3,2.6,66.6,74.8,68.7,3.7,66.1,74.5,68.8,2.6,66.9,75.4,68.1,2.6,66.3,75.1,68.1,1.8,66.9,75.7,67.7,2.0,66.4,75.1,67.8,1.7,66.7,75.3,67.7,1.8,66.5,75.3,67.4,3.4,65.1,74.6,66.7,3.8,64.2,73.8,68.0,2.9,66.0,75.2,68.1,2.4,66.4,76.0,68.0,1.6,66.9,76.3,68.6,2.8,66.7,76.1,68.7,2.4,67.1,76.5,68.2,1.8,67.0,76.4,67.9,1.9,66.6,76.1,68.4,2.2,66.9,76.2,68.2,2.5,66.5,75.4,68.7,2.3,67.1,76.0,68.9,4.1,66.0,75.8,67.5,3.9,65.0,75.2,67.7,3.1,65.6,74.8,67.4,3.0,65.4,74.3,67.0,3.0,65.0,73.9,67.4,2.7,65.6,74.4,68.0,2.7,66.2,75.0
"부산광역시","여자",49.0,6.4,45.9,54.6,48.6,4.4,46.5,54.6,49.6,4.3,47.4,54.9,50.0,4.0,48.0,55.9,49.7,2.6,48.4,56.5,50.0,2.6,48.7,56.9,50.3,2.8,48.9,57.1,49.9,2.1,48.9,57.0,48.9,1.8,48.0,56.0,49.1,2.2,48.0,56.2,49.9,2.7,48.6,56.9,49.5,3.7,47.6,56.6,49.1,4.4,46.9,56.8,50.0,3.1,48.4,57.5,49.2,3.1,47.7,56.0,49.2,2.8,47.8,56.1,50.7,2.6,49.4,58.1,50.6,3.1,49.0,57.6,50.8,2.7,49.4,58.0,50.1,2.1,49.1,57.1,50.2,2.6,48.9,56.9,50.3,3.0,48.8,56.6,50.5,2.6,49.2,57.3,50.9,3.5,49.1,57.9,50.4,3.8,48.5,57.8,49.7,2.9,48.2,56.3,50.7,2.9,49.2,57.4,50.8,3.3,49.1,57.4,51.0,3.9,49.0,57.3,51.5,4.2,49.3,57.6,51.1,3.8,49.1,57.3,50.3,3.3,48.6,56.7,50.9,3.4,49.2,57.5,50.7,3.2,49.1,57.3,50.5,3.9,48.5,57.2,50.2,5.1,47.7,57.0,50.7,5.8,47.7,57.6,51.1,3.6,49.2,58.1,50.9,2.8,49.5,58.5,51.3,3.2,49.7,58.4,51.6,3.2,50.0,58.2,51.9,3.1,50.3,58.4,52.8,3.3,51.1,59.4,51.6,2.6,50.3,58.7,52.1,2.5,50.9,59.5,51.7,2.3,50.5,59.4,51.8,2.4,50.6,59.4,51.9,5.4,49.0,59.6,52.0,6.2,48.8,58.9,51.7,3.4,50.0,58.6,52.6,3.3,50.9,59.5,52.7,2.8,51.2,60.2,53.4,2.9,51.9,60.6,53.1,2.8,51.6,60.7,52.7,2.8,51.3,60.4,51.9,2.4,50.6,60.0,52.7,1.8,51.8,61.2,52.3,1.0,51.7,61.7,52.8,1.8,51.9,61.8,52.4,4.9,49.9,61.8,52.9,5.8,49.8,62.2,53.1,2.4,51.8,62.8,52.9,1.9,51.9,62.9,53.2,2.3,52.0,62.5,53.4,2.5,52.1,62.4,53.2,1.6,52.3,62.9
