기준연월,지역,외국인 방문자 수,구분
202602,연제구,23779,외국인 방문자
202602,수영구,117133,외국인 방문자
202602,사상구,44765,외국인 방문자
202602,기장군,143829,외국인 방문자
202601,중구,173092,외국인 방문자
202601,서구,129163,외국인 방문자
202601,동구,140489,외국인 방문자
202601,영도구,161792,외국인 방문자
202601,부산진구,188708,외국인 방문자
202601,동래구,15441,외국인 방문자
202601,남구,127295,외국인 방문자
202601,북구,13162,외국인 방문자
202601,해운대구,265864,외국인 방문자
202601,사하구,63784,외국인 방문자
202601,금정구,23547,외국인 방문자
202601,강서구,447630,외국인 방문자
202601,연제구,24553,외국인 방문자
202601,수영구,94969,외국인 방문자
202601,사상구,38167,외국인 방문자
202601,기장군,108921,외국인 방문자
202512,중구,212762,외국인 방문자
202512,서구,155429,외국인 방문자
202512,동구,179750,외국인 방문자
202512,영도구,147361,외국인 방문자
202512,부산진구,215968,외국인 방문자
202512,동래구,19026,외국인 방문자
202512,남구,141082,외국인 방문자
202512,북구,16716,외국인 방문자
202512,해운대구,327044,외국인 방문자
202512,사하구,75482,외국인 방문자
202512,금정구,32171,외국인 방문자
202512,강서구,478758,외국인 방문자
202512,연제구,29142,외국인 방문자
202512,수영구,120465,외국인 방문자
202512,사상구,46353,외국인 방문자
202512,기장군,130825,외국인 방문자
202511,중구,289512,외국인 방문자
202511,서구,202008,외국인 방문자
202511,동구,235387,외국인 방문자
202511,영도구,210290,외국인 방문자
202511,부산진구,291865,외국인 방문자
202511,동래구,24290,외국인 방문자
202511,남구,201230,외국인 방문자
202511,북구,17695,외국인 방문자
202511,해운대구,412736,외국인 방문자
202511,사하구,95808,외국인 방문자
202511,금정구,51049,외국인 방문자
202511,강서구,553102,외국인 방문자
202511,연제구,36026,외국인 방문자
202511,수영구,153615,외국인 방문자
202511,사상구,61940,외국인 방문자
202511,기장군,165429,외국인 방문자
202510,중구,291327,외국인 방문자
202510,서구,211648,외국인 방문자
202510,동구,243823,외국인 방문자
202510,영도구,206740,외국인 방문자
202510,부산진구,282009,외국인 방문자
202510,동래구,24585,외국인 방문자
202510,남구,193226,외국인 방문자
202510,북구,18534,외국인 방문자
202510,해운대구,456322,외국인 방문자
202510,사하구,102584,외국인 방문자
202510,금정구,55821,외국인 방문자
202510,강서구,608515,외국인 방문자
202510,연제구,35538,외국인 방문자
202510,수영구,167996,외국인 방문자
202510,사상구,70154,외국인 방문자
202510,기장군,178774,외국인 방문자
202509,중구,230629,외국인 방문자
202509,서구,182029,외국인 방문자
202509,동구,189925,외국인 방문자
202509,영도구,181239,외국인 방문자
202509,부산진구,241120,외국인 방문자
202509,동래구,18590,외국인 방문자
202509,남구,168152,외국인 방문자
202509,북구,15452,외국인 방문자
202509,해운대구,405187,외국인 방문자
202509,사하구,80861,외국인 방문자
202509,금정구,42059,외국인 방문자
202509,강서구,501900,외국인 방문자
202509,연제구,30314,외국인 방문자
202509,수영구,149852,외국인 방문자
202509,사상구,59200,외국인 방문자
202509,기장군,141874,외국인 방문자
202508,중구,244930,외국인 방문자
202508,서구,197006,외국인 방문자
202508,동구,216544,외국인 방문자
202508,영도구,209598,외국인 방문자
202508,부산진구,251597,외국인 방문자
202508,동래구,22790,외국인 방문자
202508,남구,165652,외국인 방문자
202508,북구,21752,외국인 방문자
202508,해운대구,417808,외국인 방문자
202508,사하구,133753,외국인 방문자
202508,금정구,38449,외국인 방문자
202508,강서구,514492,외국인 방문자
202508,연제구,37531,외국인 방문자
202508,수영구,146613,외국인 방문자
202508,사상구,58641,외국인 방문자
202508,기장군,169957,외국인 방문자
202507,중구,269965,외국인 방문자
202507,서구,199505,외국인 방문자
202507,동구,224664,외국인 방문자
202507,영도구,232213,외국인 방문자
202507,부산진구,280124,외국인 방문자
202507,동래구,28159,외국인 방문자
202507,남구,176245,외국인 방문자
202507,북구,25014,외국인 방문자
202507,해운대구,473911,외국인 방문자
202507,사하구,153479,외국인 방문자
202507,금정구,37978,외국인 방문자
202507,강서구,663875,외국인 방문자
202507,연제구,44139,외국인 방문자
202507,수영구,158336,외국인 방문자
202507,사상구,68084,외국인 방문자
202507,기장군,183518,외국인 방문자
202506,중구,231522,외국인 방문자
202506,서구,166925,외국인 방문자
202506,동구,191499,외국인 방문자
202506,영도구,170078,외국인 방문자
202506,부산진구,229729,외국인 방문자
202506,동래구,21515,외국인 방문자
202506,남구,149994,외국인 방문자
202506,북구,18516,외국인 방문자
202506,해운대구,404755,외국인 방문자
202506,사하구,136707,외국인 방문자
202506,금정구,31206,외국인 방문자
202506,강서구,444880,외국인 방문자
202506,연제구,32407,외국인 방문자
202506,수영구,137953,외국인 방문자
202506,사상구,52057,외국인 방문자
202506,기장군,157611,외국인 방문자
202505,중구,256432,외국인 방문자
202505,서구,185524,외국인 방문자
202505,동구,215286,외국인 방문자
202505,영도구,199071,외국인 방문자
202505,부산진구,253841,외국인 방문자
202505,동래구,21400,외국인 방문자
202505,남구,167756,외국인 방문자
202505,북구,16827,외국인 방문자
202505,해운대구,395151,외국인 방문자
202505,사하구,152571,외국인 방문자
202505,금정구,39724,외국인 방문자
202505,강서구,453018,외국인 방문자
202505,연제구,33108,외국인 방문자
202505,수영구,145225,외국인 방문자
202505,사상구,66503,외국인 방문자
202505,기장군,157336,외국인 방문자
202504,중구,271826,외국인 방문자
202504,서구,188944,외국인 방문자
202504,동구,237008,외국인 방문자
202504,영도구,213176,외국인 방문자
202504,부산진구,249669,외국인 방문자
202504,동래구,20867,외국인 방문자
202504,남구,192704,외국인 방문자
202504,북구,17035,외국인 방문자
202504,해운대구,401046,외국인 방문자
202504,사하구,153897,외국인 방문자
202504,금정구,41904,외국인 방문자
202504,강서구,425297,외국인 방문자
202504,연제구,30911,외국인 방문자
202504,수영구,147959,외국인 방문자
202504,사상구,74406,외국인 방문자
202504,기장군,172250,외국인 방문자
202503,중구,212225,외국인 방문자
202503,서구,144467,외국인 방문자
202503,동구,171731,외국인 방문자
202503,영도구,171374,외국인 방문자
202503,부산진구,221631,외국인 방문자
202503,동래구,18276,외국인 방문자
202503,남구,164044,외국인 방문자
202503,북구,14820,외국인 방문자
202503,해운대구,287671,외국인 방문자
202503,사하구,115575,외국인 방문자
202503,금정구,34645,외국인 방문자
202503,강서구,354596,외국인 방문자
202503,연제구,27637,외국인 방문자
202503,수영구,102737,외국인 방문자
202503,사상구,62249,외국인 방문자
202503,기장군,127372,외국인 방문자
202502,중구,116272,외국인 방문자
202502,서구,84941,외국인 방문자
202502,동구,89606,외국인 방문자
202502,영도구,105778,외국인 방문자
202502,부산진구,121527,외국인 방문자
202502,동래구,11564,외국인 방문자
202502,남구,85800,외국인 방문자
202502,북구,12185,외국인 방문자
202502,해운대구,155604,외국인 방문자
202502,사하구,68047,외국인 방문자
202502,금정구,18609,외국인 방문자
202502,강서구,269013,외국인 방문자
202502,연제구,18862,외국인 방문자
202502,수영구,51984,외국인 방문자
202502,사상구,31590,외국인 방문자
202502,기장군,74900,외국인 방문자
202501,중구,129209,외국인 방문자
202501,서구,91123,외국인 방문자
202501,동구,99478,외국인 방문자
202501,영도구,124961,외국인 방문자
202501,부산진구,136653,외국인 방문자
202501,동래구,14396,외국인 방문자
202501,남구,93876,외국인 방문자
202501,북구,13987,외국인 방문자
202501,해운대구,176341,외국인 방문자
202501,사하구,73192,외국인 방문자
202501,금정구,18890,외국인 방문자
202501,강서구,303854,외국인 방문자
202501,연제구,21982,외국인 방문자
202501,수영구,60562,외국인 방문자
202501,사상구,31283,외국인 방문자
202501,기장군,81272,외국인 방문자
202412,중구,176698,외국인 방문자
202412,서구,121536,외국인 방문자
202412,동구,138357,외국인 방문자
202412,영도구,145031,외국인 방문자
