연월,분석차원,분류,신설법인수,부산전체신설법인수,비중_pct,전월대비증감률_pct,전년동월대비증감률_pct,3개월이동평균,데이터상태,출처파일,검증_주의
202503,업종,서비스업,75,328,22.87,-23.47,-34.21,88.0,원문확인,2._2025년_3월중_부산지역_신설법인_현황_조사_보고서.pdf,
202503,업종,기타,3,328,0.91,-75.0,-40.0,6.0,원문확인,2._2025년_3월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,제조업,47,335,14.03,23.68,9.3,50.33,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,건설업,30,335,8.96,0.0,-6.25,31.0,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,유통업,76,335,22.69,-36.13,-21.65,97.0,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,운수업,13,335,3.88,18.18,-35.0,12.33,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,정보통신업,34,335,10.15,126.67,70.0,23.0,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,부동산 및 장비임대업,34,335,10.15,-8.11,-29.17,34.67,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,서비스업,96,335,28.66,28.0,-4.95,89.67,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202504,업종,기타,5,335,1.49,66.67,-54.55,6.67,원문확인,2._2025년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,제조업,51,367,13.9,8.51,-7.27,45.33,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,건설업,24,367,6.54,-20.0,-29.41,28.0,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,유통업,118,367,32.15,55.26,19.19,104.33,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,운수업,15,367,4.09,15.38,50.0,13.0,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,정보통신업,28,367,7.63,-17.65,33.33,25.67,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,부동산 및 장비임대업,27,367,7.36,-20.59,-30.77,32.67,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,서비스업,100,367,27.25,4.17,9.89,90.33,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202505,업종,기타,4,367,1.09,-20.0,-63.64,4.0,원문확인,2._2025년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,제조업,36,367,9.81,-29.41,-43.75,44.67,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,건설업,22,367,5.99,-8.33,22.22,25.33,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,유통업,125,367,34.06,5.93,47.06,106.33,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,운수업,15,367,4.09,0.0,-25.0,14.33,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,정보통신업,20,367,5.45,-28.57,66.67,27.33,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,부동산 및 장비임대업,54,367,14.71,100.0,31.71,38.33,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,서비스업,86,367,23.43,-14.0,19.44,94.0,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202506,업종,기타,9,367,2.45,125.0,80.0,6.0,원문확인,2._2025년_상반기_및_6월_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,제조업,69,453,15.23,91.67,4.55,52.0,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,건설업,30,453,6.62,36.36,-11.76,25.33,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,유통업,127,453,28.04,1.6,25.74,123.33,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,운수업,23,453,5.08,53.33,91.67,17.67,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,정보통신업,30,453,6.62,50.0,3.45,26.0,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,부동산 및 장비임대업,50,453,11.04,-7.41,8.7,43.67,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,서비스업,118,453,26.05,37.21,14.56,101.33,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202507,업종,기타,6,453,1.32,-33.33,0.0,6.33,원문확인,2._2025년_7월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,제조업,57,363,15.7,-17.39,35.71,54.0,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,건설업,18,363,4.96,-40.0,-37.93,23.33,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,유통업,114,363,31.4,-10.24,31.03,122.0,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,운수업,10,363,2.75,-56.52,0.0,16.0,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,정보통신업,22,363,6.06,-26.67,37.5,24.0,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,부동산 및 장비임대업,42,363,11.57,-16.0,10.53,48.67,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,서비스업,91,363,25.07,-22.88,10.98,98.33,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202508,업종,기타,9,363,2.48,50.0,50.0,8.0,원문확인,2._2025년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,제조업,57,392,14.54,0.0,21.28,61.0,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,건설업,28,392,7.14,55.56,40.0,25.33,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,유통업,117,392,29.85,2.63,48.1,119.33,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,운수업,13,392,3.32,30.0,30.0,15.33,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,정보통신업,18,392,4.59,-18.18,12.5,23.33,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,부동산 및 장비임대업,35,392,8.93,-16.67,-2.78,42.33,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,서비스업,110,392,28.06,20.88,52.78,106.33,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202509,업종,기타,14,392,3.57,55.56,55.56,9.67,원문확인,2._2025년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,제조업,42,315,13.33,-26.32,-17.65,52.0,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,건설업,25,315,7.94,-10.71,0.0,23.67,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,유통업,91,315,28.89,-22.22,-17.27,107.33,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,운수업,12,315,3.81,-7.69,-20.0,11.67,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,정보통신업,16,315,5.08,-11.11,-30.43,18.67,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,부동산 및 장비임대업,26,315,8.25,-25.71,-55.93,34.33,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,서비스업,94,315,29.84,-14.55,14.63,98.33,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202510,업종,기타,9,315,2.86,-35.71,50.0,10.67,원문확인,2._2025년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202511,업종,제조업,59,346,17.05,40.48,-9.23,52.67,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202511,업종,건설업,21,346,6.07,-16.0,-41.67,24.67,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202511,업종,유통업,102,346,29.48,12.09,8.51,103.33,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202511,업종,운수업,15,346,4.34,25.0,-6.25,13.33,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202511,업종,정보통신업,26,346,7.51,62.5,30.0,20.0,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202511,업종,부동산 및 장비임대업,41,346,11.85,57.69,2.5,34.0,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202511,업종,서비스업,75,346,21.68,-20.21,-16.67,93.0,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202511,업종,기타,7,346,2.02,-22.22,-12.5,10.0,원문확인,2._2025년_11월중_부산지역_신설법인_현황_조사_보고서_F.pdf,
202512,업종,제조업,62,392,15.82,5.08,1.64,54.33,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202512,업종,건설업,19,392,4.85,-9.52,-20.83,21.67,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202512,업종,유통업,102,392,26.02,0.0,9.68,98.33,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202512,업종,운수업,18,392,4.59,20.0,-28.0,15.0,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202512,업종,정보통신업,31,392,7.91,19.23,82.35,24.33,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202512,업종,부동산 및 장비임대업,47,392,11.99,14.63,34.29,38.0,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202512,업종,서비스업,109,392,27.81,45.33,3.81,92.67,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202512,업종,기타,4,392,1.02,-42.86,0.0,6.67,원문확인,2._2025년도_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,제조업,73,452,16.15,17.74,32.73,64.67,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,건설업,41,452,9.07,115.79,70.83,27.0,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,유통업,114,452,25.22,11.76,0.0,106.0,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,운수업,19,452,4.2,5.56,18.75,17.33,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,정보통신업,40,452,8.85,29.03,73.91,32.33,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,부동산 및 장비임대업,44,452,9.73,-6.38,57.14,44.0,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,서비스업,112,452,24.78,2.75,23.08,98.67,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202601,업종,기타,9,452,1.99,125.0,200.0,6.67,원문확인,2._2026년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202401,행정구,강서구,69,453,15.23,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,해운대구,66,453,14.57,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,부산진구,42,453,9.27,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,기장군,35,453,7.73,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,남구,28,453,6.18,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,동래구,28,453,6.18,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,수영구,28,453,6.18,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,연제구,24,453,5.3,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,사상구,23,453,5.08,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,금정구,22,453,4.86,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,동구,22,453,4.86,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,사하구,20,453,4.42,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,북구,15,453,3.31,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,중구,15,453,3.31,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,서구,10,453,2.21,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,행정구,영도구,6,453,1.32,,,,원문그래프직접,2._2024년_1월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202402,행정구,강서구,45,327,13.76,-34.78,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,해운대구,57,327,17.43,-13.64,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,부산진구,29,327,8.87,-30.95,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,기장군,21,327,6.42,-40.0,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,남구,21,327,6.42,-25.0,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,동래구,18,327,5.5,-35.71,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,수영구,15,327,4.59,-46.43,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,연제구,25,327,7.65,4.17,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,사상구,14,327,4.28,-39.13,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,금정구,18,327,5.5,-18.18,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,동구,17,327,5.2,-22.73,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,사하구,17,327,5.2,-15.0,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,북구,11,327,3.36,-26.67,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,중구,8,327,2.45,-46.67,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,서구,4,327,1.22,-60.0,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,행정구,영도구,7,327,2.14,16.67,,,비중역산_합계검증,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202403,행정구,강서구,39,366,10.66,-13.33,,51.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,해운대구,75,366,20.49,31.58,,66.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,부산진구,39,366,10.66,34.48,,36.67,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,기장군,15,366,4.1,-28.57,,23.67,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,남구,24,366,6.56,14.29,,24.33,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,동래구,26,366,7.1,44.44,,24.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,수영구,14,366,3.83,-6.67,,19.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,연제구,19,366,5.19,-24.0,,22.67,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,사상구,16,366,4.37,14.29,,17.67,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,금정구,14,366,3.83,-22.22,,18.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,동구,16,366,4.37,-5.88,,18.33,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,사하구,23,366,6.28,35.29,,20.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,북구,14,366,3.83,27.27,,13.33,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,중구,10,366,2.73,25.0,,11.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,서구,13,366,3.55,225.0,,9.0,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,행정구,영도구,9,366,2.46,28.57,,7.33,원문그래프직접,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202404,행정구,강서구,46,372,12.37,17.95,,43.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,해운대구,49,372,13.17,-34.67,,60.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,부산진구,54,372,14.52,38.46,,40.67,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,기장군,19,372,5.11,26.67,,18.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,남구,25,372,6.72,4.17,,23.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,동래구,9,372,2.42,-65.38,,17.67,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,수영구,23,372,6.18,64.29,,17.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,연제구,19,372,5.11,0.0,,21.0,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,사상구,19,372,5.11,18.75,,16.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,금정구,25,372,6.72,78.57,,19.0,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,동구,26,372,6.99,62.5,,19.67,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,사하구,17,372,4.57,-26.09,,19.0,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,북구,14,372,3.76,0.0,,13.0,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,중구,16,372,4.3,60.0,,11.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,서구,2,372,0.54,-84.62,,6.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202404,행정구,영도구,9,372,2.42,0.0,,8.33,비중역산_합계검증,2._2024년_4월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,강서구,47,360,13.06,2.17,,44.0,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,해운대구,69,360,19.17,40.82,,64.33,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,부산진구,34,360,9.44,-37.04,,42.33,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,기장군,15,360,4.17,-21.05,,16.33,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,남구,21,360,5.83,-16.0,,23.33,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,동래구,22,360,6.11,144.44,,19.0,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,수영구,18,360,5.0,-21.74,,18.33,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,연제구,23,360,6.39,21.05,,20.33,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,사상구,16,360,4.44,-15.79,,17.0,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,행정구,금정구,25,360,6.94,0.0,,21.33,비중역산_합계검증,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
