연월,분석차원,분류,신설법인수,부산전체신설법인수,비중_pct,전월대비증감률_pct,전년동월대비증감률_pct,3개월이동평균,데이터상태,출처파일,검증_주의
202309,업종,정보통신업,17,368,4.62,-10.53,-29.17,18.67,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202309,업종,부동산 및 장비임대업,61,368,16.58,7.02,-8.96,61.67,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202309,업종,서비스업,100,368,27.17,2.04,21.95,104.33,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202309,업종,기타,6,368,1.63,0.0,-14.29,5.33,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,제조업,46,339,13.57,-28.12,21.05,55.0,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,건설업,27,339,7.96,-6.9,-35.71,29.33,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,유통업,88,339,25.96,12.82,-11.11,82.33,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,운수업,13,339,3.83,0.0,-23.53,11.0,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,정보통신업,21,339,6.19,23.53,10.53,19.0,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,부동산 및 장비임대업,44,339,12.98,-27.87,-33.33,54.0,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,서비스업,96,339,28.32,-4.0,11.63,98.0,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202310,업종,기타,4,339,1.18,-33.33,-20.0,5.33,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202311,업종,제조업,56,365,15.34,21.74,47.37,55.33,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,업종,건설업,27,365,7.4,0.0,-6.9,27.67,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,업종,유통업,87,365,23.84,-1.14,3.57,84.33,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,업종,운수업,15,365,4.11,15.38,-11.76,13.67,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,업종,정보통신업,22,365,6.03,4.76,-24.14,20.0,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,업종,부동산 및 장비임대업,54,365,14.79,22.73,8.0,53.0,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,업종,서비스업,99,365,27.12,3.12,11.24,98.33,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,업종,기타,5,365,1.37,25.0,-50.0,5.0,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,제조업,71,345,20.58,26.79,20.34,57.67,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,건설업,25,345,7.25,-7.41,13.64,26.33,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,유통업,80,345,23.19,-8.05,-25.23,85.0,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,운수업,14,345,4.06,-6.67,-46.15,14.0,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,정보통신업,18,345,5.22,-18.18,-5.26,20.33,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,부동산 및 장비임대업,35,345,10.14,-35.19,-30.0,44.33,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,서비스업,95,345,27.54,-4.04,-7.77,96.67,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202312,업종,기타,7,345,2.03,40.0,-12.5,5.33,원문확인,2._2023년_12월_및_2023년_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202401,업종,제조업,77,453,17.0,8.45,71.11,68.0,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,업종,건설업,35,453,7.73,40.0,-5.41,29.0,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,업종,유통업,107,453,23.62,33.75,4.9,91.33,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202401,업종,운수업,17,453,3.75,21.43,-10.53,15.33,원문확인,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
