연월,행정구,신설법인수,부산전체신설법인수,부산전체대비비중_pct,원문비중_pct,월내순위,전월대비증감수,전월대비증감률_pct,전년동월대비증감수,전년동월대비증감률_pct,3개월이동평균,6개월이동평균,데이터상태,수치생성방식,출처파일,검증_주의
202402,동구,17,327,5.2,5.2,9,-5,-22.73,,,,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,사하구,17,327,5.2,5.2,9,-3,-15.0,,,,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,북구,11,327,3.36,3.4,13,-4,-26.67,,,,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,중구,8,327,2.45,2.4,14,-7,-46.67,,,,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,서구,4,327,1.22,1.2,16,-6,-60.0,,,,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202402,영도구,7,327,2.14,2.1,15,1,16.67,,,,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_2월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202403,강서구,39,366,10.66,10.7,2,-6,-13.33,,,51.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,해운대구,75,366,20.49,20.5,1,18,31.58,,,66.0,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,부산진구,39,366,10.66,10.7,2,10,34.48,,,36.67,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202403,기장군,15,366,4.1,4.1,10,-6,-28.57,,,23.67,,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_3월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
